ID;CLASS;EVENTS
0;1;1 2 9 17 23 25 35 43 45 51 52 56 61 66
1;1;1 6 9 21 24 26 34 42 45 50 52 56 61 66
2;1;1 2 9 17 23 26 32 44 45 51 52 56 61 66
3;0;1 2 9 14 24 25 36 43 46 51 52 59 61 81
4;1;1 2 9 17 23 25 30 43 45 51 52 56 61 66
5;1;1 2 9 17 23 27 29 44 45 50 52 56 61 66
6;1;1 2 9 15 23 27 34 42 45 50 52 56 61 66
7;0;1 2 9 15 23 25 32 43 45 51 52 56 61 66
8;1;1 9 14 24 26 44 45 50 52 56 61 66
9;1;1 2 9 17 23 25 36 41 45 50 52 56 61 66
10;1;1 2 9 18 24 27 37 42 45 51 52 56 61 66
11;0;1 5 9 15 23 25 40 43 45 51 52 56 61 66
12;1;1 2 9 17 23 25 31 43 45 51 52 56 61 66
13;1;1 2 9 15 23 27 36 44 45 50 52 56 61 66
14;1;1 2 9 17 23 27 33 44 45 51 52 58 61 66
15;0;1 2 9 14 24 25 34 41 45 50 52 56 61 66
16;1;1 5 9 15 23 25 36 43 45 51 52 56 61 66
17;1;1 2 9 17 23 26 36 42 45 50 52 56 61 66
18;1;1 2 9 16 23 27 31 44 48 51 52 56 61 72
19;0;1 7 9 20 23 25 34 41 45 50 52 56 61 66
20;1;1 2 9 17 23 25 30 43 45 51 52 56 61 66
21;1;1 2 9 16 23 27 31 42 45 50 52 56 61 66
22;1;1 2 9 17 23 27 36 42 45 51 52 56 61 66
23;1;1 3 9 16 23 27 30 42 45 51 52 56 61 66
24;0;1 6 9 21 24 25 33 43 49 51 52 56 61 66
25;1;1 2 9 16 23 25 36 43 45 51 52 56 61 72
26;1;1 6 9 17 23 25 39 43 45 51 52 56 61 66
27;1;1 2 9 15 23 27 38 44 45 51 52 56 61 66
28;0;1 6 9 21 24 25 34 41 45 50 52 56 61 66
29;1;1 2 9 15 23 25 30 43 45 51 52 56 61 66
30;1;1 2 9 17 23 27 32 44 45 51 52 56 61 66
31;1;1 2 9 15 23 27 38 44 45 51 52 56 61 66
32;0;1 2 9 14 24 27 34 44 45 50 52 56 61 66
33;1;1 2 9 17 23 25 33 43 45 51 52 56 61 66
34;1;1 5 9 15 23 26 36 42 45 50 52 56 61 66
35;1;1 2 9 14 24 27 31 44 45 51 52 56 61 66
36;0;1 4 9 21 24 25 32 43 45 51 52 56 61 66
37;1;1 2 9 14 24 27 34 44 45 50 52 56 61 66
38;1;1 2 9 20 23 25 33 43 45 51 52 56 63 66
39;1;1 2 9 16 23 27 30 44 45 51 52 56 61 72
40;0;1 2 9 15 23 25 29 43 45 51 52 56 61 66
41;1;1 5 9 19 24 27 36 44 45 51 52 56 61 72
42;1;1 2 9 17 23 27 31 44 45 50 52 56 61 66
43;1;1 2 9 15 23 27 32 44 46 50 52 56 61 81
44;0;1 2 9 17 23 25 32 43 45 51 52 56 61 66
45;1;1 2 9 17 23 25 35 43 45 51 52 56 61 66
46;1;1 2 9 19 24 27 33 42 45 50 52 56 61 66
47;1;1 2 9 16 23 27 37 44 45 51 52 56 61 72
48;1;1 7 9 17 23 25 30 43 45 51 53 56 61 66
49;0;1 2 9 15 23 25 32 41 45 50 52 56 61 66
50;1;1 2 9 14 24 25 34 43 45 51 52 56 61 66
51;1;1 3 9 17 23 27 31 42 45 50 52 56 61 66
52;1;1 2 9 17 23 27 36 44 45 50 52 56 61 66
53;0;1 2 9 14 24 25 38 43 45 51 55 56 61 66
54;1;1 2 9 16 23 27 30 44 48 51 52 56 61 66
55;1;1 2 9 19 24 27 30 44 45 51 52 56 61 66
56;1;1 2 9 16 23 27 31 42 45 51 52 56 61 66
57;0;1 2 9 14 24 25 33 43 45 51 52 56 61 66
58;1;1 2 9 15 23 27 30 42 45 51 52 56 61 66
59;1;1 2 9 14 24 25 35 43 45 51 52 56 61 73
60;1;1 6 9 21 24 26 34 42 45 51 52 56 61 66
61;0;1 2 9 14 24 25 33 43 45 51 52 56 61 66
62;1;1 2 9 21 24 25 34 41 45 50 52 56 61 66
63;1;1 2 9 17 23 25 33 41 45 50 52 56 61 66
64;1;1 2 9 14 24 27 32 44 45 51 52 56 61 66
65;0;1 2 9 21 24 25 34 41 46 50 52 56 61 77
66;1;1 2 9 17 23 27 31 42 45 50 52 56 61 66
67;1;1 2 9 20 23 27 31 42 45 50 52 56 61 66
68;1;1 2 9 17 23 27 31 42 49 51 52 56 61 66
69;1;1 7 9 15 23 25 35 43 45 51 52 56 61 66
70;0;1 2 9 14 24 25 30 43 45 51 52 56 61 66
71;1;1 2 9 16 23 27 39 42 49 51 52 56 61 66
72;1;1 2 9 15 23 27 31 42 45 51 52 56 61 66
73;1;1 2 9 15 23 26 29 42 45 51 52 56 61 66
74;0;1 9 20 23 25 43 45 51 52 56 61 66
75;1;1 2 9 17 23 25 32 43 45 51 52 56 61 66
76;1;1 3 9 17 23 25 37 43 45 51 52 56 61 66
77;1;1 2 9 18 24 25 34 43 46 51 52 56 61 74
78;0;1 2 9 14 24 26 33 44 45 50 52 56 61 66
79;1;1 2 9 16 23 27 30 42 45 51 52 56 61 66
80;1;1 2 9 17 23 27 35 42 45 51 52 56 61 66
81;1;1 2 9 15 23 25 32 42 45 50 52 56 61 66
82;0;1 4 9 18 24 25 34 43 46 51 52 56 61 89
83;1;1 6 9 15 23 27 34 42 45 51 52 56 61 66
84;1;1 2 9 17 23 25 38 43 45 51 52 56 61 66
85;1;1 2 9 17 23 27 36 42 45 50 52 56 61 66
86;0;1 2 9 20 23 25 38 43 45 51 52 56 63 66
87;1;1 9 17 23 27 42 49 51 52 56 61 66
88;1;1 2 9 17 23 25 32 43 45 51 52 56 61 66
89;1;1 2 9 16 23 27 31 44 45 51 52 56 61 72
90;0;1 2 9 17 23 25 32 43 45 51 52 56 61 66
91;1;1 2 9 15 23 27 31 42 45 50 52 56 61 66
92;1;1 2 9 15 23 27 36 42 49 50 52 56 61
93;1;1 2 9 14 24 27 33 42 45 51 52 56 61 78
94;1;1 2 9 15 23 27 31 42 45 51 52 56 61 66
95;0;1 3 9 14 24 25 33 43 45 51 52 56 61 92
96;1;1 2 9 16 23 25 34 43 45 51 52 56 61 83
97;1;1 2 9 17 23 27 32 42 45 51 52 56 61 66
98;1;1 2 9 15 23 27 35 44 45 50 52 56 61 66
99;0;1 6 9 15 23 26 36 44 49 50 52 56 61 66
100;1;1 2 9 15 23 26 32 42 45 51 52 56 61 66
101;1;1 2 9 20 23 26 32 44 45 50 52 56 61 66
102;1;1 9 18 24 25 43 45 51 52 56 61 66
103;0;1 6 9 14 24 25 34 43 45 51 52 57 61 66
104;1;1 2 9 17 23 26 30 42 45 51 52 56 61 66
105;1;1 2 9 14 24 27 32 44 45 50 52 56 61 66
106;1;1 9 15 23 27 42 45 51 52 56 61 66
107;0;1 2 9 15 23 25 30 43 45 51 52 57 61 66
108;1;1 2 9 16 23 25 34 43 45 51 52 56 61 66
109;1;1 3 9 22 24 27 34 44 45 51 52 56 61 66
110;1;1 3 9 14 24 25 33 43 45 51 52 56 61 66
111;0;1 7 9 22 24 25 34 43 45 51 52 56 61
112;1;1 2 9 17 23 26 32 44 45 51 52 56 61 66
113;1;1 2 9 15 23 27 32 44 45 50 52 56 61 66
114;1;1 5 9 17 23 27 31 42 45 50 52 56 61 66
115;1;1 2 9 19 24 25 37 43 45 51 52 56 61 66
116;0;1 2 9 18 24 25 34 43 45 51 52 56 61 66
117;1;1 2 9 14 24 27 33 44 45 50 52 56 61 66
118;1;1 2 9 17 23 27 30 44 45 51 52 56 61 66
119;1;1 2 9 16 23 27 31 42 45 50 52 56 61 72
120;0;1 9 17 23 25 43 45 51 52 56 61 66
121;1;1 3 9 17 23 25 38 43 45 51 52 56 61 66
122;1;1 2 9 17 23 26 36 44 45 50 52 56 61 66
123;1;1 5 9 17 23 26 29 42 45 50 52 56 61 66
124;0;1 2 9 22 24 27 34 44 45 51 52 56 61 66
125;1;1 2 9 15 23 27 31 42 45 51 52 56 61 66
126;1;1 2 9 17 23 27 31 44 45 51 52 56 61 66
127;1;1 2 9 17 23 27 30 42 45 51 52 56 61 66
128;0;1 2 9 15 23 25 31 42 45 50 52 56 61 66
129;1;1 3 9 20 23 25 34 43 45 51 52 58 61 66
130;1;1 7 9 14 24 25 36 43 45 51 53 56 61 66
131;1;1 2 9 15 23 27 35 44 49 50 52 56 61 66
132;0;1 2 9 15 23 27 30 44 45 51 52 58 61 66
133;1;1 2 9 15 23 27 32 42 45 50 52 56 61 66
134;1;1 2 9 16 23 27 32 44 45 51 52 56 61 66
135;1;1 2 9 16 23 25 38 43 45 51 52 56 61 66
136;0;1 2 9 17 23 25 36 41 45 50 52 56 61 66
137;1;1 2 9 17 23 26 30 44 45 51 52 56 61 66
138;1;1 2 9 15 23 27 34 44 45 50 52 56 61 66
139;1;1 2 9 18 24 25 34 43 46 51 52 56 61 89
140;1;1 2 9 15 23 26 32 42 45 50 52 56 61 66
141;0;1 2 9 14 24 26 34 44 45 51 52 56 61 66
142;1;1 9 15 23 27 44 45 50 52 56 61 66
143;1;1 9 15 23 25 43 45 51 52 56 63 66
144;1;1 9 17 23 27 42 49 51 52 56 61 66
145;0;1 9 19 24 25 43 45 51 52 56 61 66
146;1;1 9 16 23 26 44 45 50 52 56 61 66
147;1;1 2 9 17 23 27 30 44 49 51 52 56 61 66
148;1;1 6 9 21 24 26 34 44 45 50 52 56 61 66
149;0;1 2 9 14 24 25 36 43 45 51 52 56 61 66
150;1;1 2 9 17 23 25 32 43 45 51 52 56 61 82
151;1;1 3 9 15 23 26 32 44 45 50 52 56 61 66
152;1;1 2 9 14 24 25 34 43 45 51 52 56 61 66
153;0;1 2 9 14 24 25 34 43 45 51 55 56 61 66
154;1;1 7 9 21 24 25 33 43 45 51 52 56 61 66
155;1;1 2 9 17 23 27 32 42 45 50 52 56 61 66
156;1;1 4 9 19 24 25 32 43 45 51 52 56 61 66
157;0;1 4 9 21 24 27 33 44 45 50 55 56 61 66
158;1;1 2 9 17 23 25 35 41 45 50 52 56 61 66
159;1;1 2 9 17 23 27 36 44 45 50 52 56 61 69
160;1;1 7 9 17 23 25 38 43 45 51 52 56 61 66
161;0;1 4 9 14 24 25 30 43 45 51 52 56 61 66
162;1;1 2 9 20 23 25 36 42 45 50 52 56 61 66
163;1;1 4 9 14 24 27 33 42 45 50 52 56 61 66
164;1;1 6 9 21 24 27 34 44 45 51 52 56 61 66
165;1;1 2 9 17 23 27 30 42 45 50 52 56 61 66
166;0;1 3 9 16 23 25 30 43 45 51 52 56 61 66
167;1;1 2 9 17 23 27 36 42 45 50 52 56 61 66
168;1;1 2 9 15 23 25 34 43 45 51 52 56 61 66
