ID;CLASS;EVENTS
0;15;4 5 13 21 28 39
1;14;3 6 11 23 32 38
2;13;4 5 15 23 25 36
3;15;3 5 16 23 25 37
4;12;4 6 13 19 26 39
5;0;1 5 15 18 32 34
6;14;4 6 12 19 30 36
7;13;3 5 13 23 32 35
8;16;1 5 12 23 31 35
9;15;2 6 10 17 30 38
10;11;4 7 9 22 25 40
11;14;4 6 11 17 31 38
12;10;4 7 14 21 32 37
13;12;2 5 9 20 29 35
14;0;3 6 9 20 25 37
15;15;3 5 9 21 27 37
16;9;4 7 11 19 25 40
17;13;3 5 12 19 25 37
18;14;2 5 12 17 31 34
19;15;2 5 11 20 27 40
20;16;3 5 14 24 30 38
21;12;4 7 10 17 31 39
22;13;4 5 13 18 31 40
23;11;4 7 13 22 26 40
24;0;2 5 10 20 25 37
25;14;3 6 12 18 31 38
26;15;3 5 10 17 32 40
27;10;4 7 11 18 25 38
28;14;1 5 10 24 31 34
29;13;4 6 13 20 26 38
30;12;4 7 13 23 26 36
31;16;3 5 15 23 30 36
32;0;2 5 13 19 29 34
33;15;2 5 9 17 29 40
34;9;3 5 15 20 31 33
35;14;4 6 15 22 26 37
36;8;4 6 14 23 30 33
37;11;3 6 11 17 31 34
38;13;3 5 12 17 26 35
39;15;2 5 16 24 28 39
40;12;3 6 15 22 25 35
41;14;3 6 10 18 29 39
42;0;4 7 16 19 31 34
43;7;2 5 11 18 28 33
44;10;4 7 10 24 30 35
45;15;3 5 13 23 27 36
46;16;2 5 16 24 28 35
47;13;4 6 13 17 31 35
48;14;2 5 12 20 29 39
49;12;2 5 10 23 29 40
50;11;4 8 16 23 32 36
51;15;3 5 13 24 26 38
52;0;3 5 16 17 31 34
53;9;4 7 12 20 25 39
54;13;2 5 12 17 27 35
55;14;4 6 10 18 26 38
56;6;4 6 11 23 26 33
57;15;3 5 15 17 29 35
58;16;2 6 11 19 30 38
59;13;3 7 16 18 32 38
60;10;3 5 15 21 32 35
61;12;2 5 11 17 26 35
62;14;3 6 16 19 29 38
63;0;3 5 11 19 28 35
64;11;2 5 11 24 25 36
65;15;2 5 13 24 28 35
66;15;3 5 13 19 26 37
67;13;3 7 16 22 31 34
68;12;2 5 15 18 25 38
69;17;2 5 14 22 30 34
70;16;3 5 11 24 29 38
71;14;2 6 14 22 29 33
72;0;4 7 10 23 25 38
73;9;4 8 13 24 31 33
74;15;4 5 16 19 29 38
75;13;4 5 12 18 25 37
76;10;1 5 10 19 29 34
77;8;4 5 13 17 32 33
78;14;4 6 16 24 30 39
79;11;1 5 11 22 32 33
80;12;1 5 15 22 32 40
81;15;2 5 9 20 30 36
82;0;4 8 14 17 31 34
83;14;3 6 15 17 29 36
84;16;2 5 10 19 30 35
85;13;2 5 13 20 32 40
86;15;2 5 13 20 27 36
87;14;4 6 10 19 27 40
88;12;4 5 11 23 29 40
89;13;2 5 12 18 25 37
90;7;4 5 13 22 32 33
91;0;4 7 16 18 31 34
92;10;3 6 13 22 32 34
93;9;4 6 11 18 32 34
94;11;2 6 10 22 29 33
95;15;3 6 16 19 27 36
96;14;4 5 16 19 27 40
97;16;2 5 15 22 28 36
98;15;4 6 10 23 29 37
99;12;3 5 12 17 26 40
100;13;4 7 10 24 28 38
101;0;2 5 15 19 32 36
102;14;4 6 15 24 28 37
103;15;1 5 13 24 32 39
104;13;4 7 15 17 29 39
105;11;2 6 11 20 30 35
106;12;4 6 14 19 25 37
107;10;3 5 9 23 32 34
108;16;2 5 14 20 28 37
109;14;2 6 16 18 32 38
110;9;3 6 11 20 32 34
111;3;3 7 13 20 25 33
112;15;4 6 14 23 26 37
113;0;1 5 16 19 31 35
114;13;3 5 9 18 32 40
115;6;4 7 12 20 26 34
116;14;3 7 10 23 29 36
117;15;2 5 12 18 30 39
118;8;4 7 15 17 25 35
119;12;3 6 14 17 31 40
120;14;3 6 10 24 31 40
121;11;4 6 14 17 32 36
122;0;2 6 13 21 30 38
123;16;2 6 14 20 30 38
124;13;3 6 9 17 29 40
125;10;4 8 11 20 30 34
126;15;3 5 13 21 26 37
127;14;2 5 10 21 32 38
128;12;4 7 12 20 29 37
129;13;4 7 14 20 29 38
130;15;2 5 9 17 30 36
131;9;4 8 9 22 27 33
132;0;3 7 14 18 30 33
133;14;3 7 14 24 29 36
134;11;2 6 14 20 30 33
135;16;4 5 11 17 29 36
136;15;4 5 16 24 28 36
137;7;4 5 15 19 32 33
138;12;4 6 12 17 25 37
139;5;4 6 13 24 26 33
140;13;4 7 12 18 30 37
141;17;1 5 15 22 31 36
142;14;2 6 11 18 32 36
143;10;3 7 13 22 31 33
144;0;2 5 11 23 26 38
145;15;4 5 16 21 31 39
146;13;4 7 10 18 28 39
147;15;3 5 10 20 28 39
148;16;4 5 14 18 29 37
149;11;4 8 10 17 31 34
150;12;4 6 14 17 25 38
151;14;3 5 13 20 26 36
152;9;4 8 16 17 27 34
153;0;1 5 16 20 31 36
154;15;3 5 14 21 27 40
155;13;4 6 14 23 25 37
156;14;4 5 9 21 30 38
157;12;4 7 12 20 29 40
158;10;2 5 11 20 25 39
159;8;4 5 10 17 25 40
160;15;2 5 10 20 32 39
161;16;1 5 16 17 31 35
162;13;1 5 9 20 29 34
163;11;4 8 12 24 30 35
164;0;3 7 15 19 31 34
165;14;4 5 16 21 25 38
166;15;1 5 13 23 31 35
167;12;3 6 15 17 26 40
168;13;4 7 10 24 31 36
169;14;4 6 9 19 30 39
170;9;3 7 15 19 29 34
171;0;1 5 15 17 30 34
172;15;3 6 11 23 29 39
173;16;1 5 16 21 30 38
174;6;4 7 13 23 26 33
175;10;4 7 12 21 26 38
176;14;4 5 12 20 28 39
177;11;3 7 12 24 30 34
178;13;2 6 14 21 31 39
179;12;3 6 14 18 32 36
180;15;2 6 13 22 30 35
181;14;3 7 12 17 29 36
182;0;4 5 11 22 27 37
183;13;3 7 15 22 31 34
184;15;2 6 12 19 30 37
185;7;4 5 11 22 31 33
186;16;3 5 14 22 27 38
187;12;4 7 12 23 32 38
188;14;4 6 9 17 28 38
189;15;3 5 10 20 32 38
190;9;3 7 9 19 30 33
191;10;3 6 12 18 32 34
192;11;2 6 15 24 32 37
193;0;3 5 14 19 29 35
194;13;4 5 12 21 25 37
195;14;3 6 14 20 28 39
196;12;2 5 14 20 28 33
197;15;2 6 15 22 30 34
198;16;3 5 11 23 29 36
199;8;3 6 10 24 25 36
200;13;3 6 13 24 31 38
201;14;3 6 12 17 29 38
202;0;4 8 10 17 25 33
203;15;4 5 12 23 30 35
204;11;4 7 14 19 31 37
205;14;3 6 15 19 28 38
206;10;4 7 16 24 31 34
207;12;4 6 13 24 25 36
208;9;4 8 15 20 26 34
209;13;4 6 11 24 31 35
210;15;2 6 13 21 31 37
211;17;1 5 16 23 30 38
212;0;3 6 9 20 26 36
213;16;4 5 15 17 28 38
214;14;4 5 15 21 28 36
215;13;3 6 12 22 28 40
216;12;4 6 13 23 31 38
217;15;2 5 13 19 26 36
218;11;4 6 14 19 32 39
219;14;2 6 10 19 32 39
220;0;4 5 15 18 30 34
221;10;4 7 14 22 25 38
222;13;4 5 16 17 32 38
223;15;3 5 12 19 30 37
224;3;3 7 15 23 25 33
225;16;4 5 11 17 29 38
226;12;4 7 16 24 32 37
227;15;2 5 12 24 32 38
228;9;4 8 16 22 26 33
229;14;3 6 16 23 29 38
230;13;3 6 13 24 26 38
231;7;4 6 10 18 25 37
232;0;2 6 16 20 32 37
233;11;4 7 14 24 31 37
234;6;4 7 11 21 27 33
235;15;1 5 13 21 31 34
236;14;3 5 13 18 27 40
237;12;4 6 13 19 28 40
238;16;2 5 10 19 30 38
239;10;3 6 15 17 32 35
240;13;3 5 15 24 30 33
241;8;2 5 16 18 29 33
242;15;3 6 14 23 26 37
243;0;1 5 16 22 32 39
244;14;4 6 16 24 31 36
245;15;4 5 15 17 31 40
246;12;3 6 14 18 32 37
247;11;4 8 11 24 31 34
248;13;4 7 14 18 28 40
249;9;2 5 10 24 25 38
250;14;4 6 10 24 29 38
251;15;2 5 13 22 32 36
252;16;1 5 11 20 31 37
253;0;4 6 15 21 32 37
254;13;4 6 11 21 31 40
255;10;3 6 14 23 31 33
256;12;4 7 16 24 32 36
257;14;4 7 11 19 28 37
258;15;4 5 13 18 27 37
259;14;3 5 16 22 32 34
260;11;4 8 10 21 29 34
261;0;4 6 14 23 29 38
262;13;4 6 13 17 27 38
263;16;4 5 14 17 29 35
264;15;4 5 14 21 28 36
265;12;4 7 10 21 31 37
266;9;3 5 15 18 32 39
267;14;4 6 15 18 26 39
268;13;3 5 12 23 29 33
269;15;3 5 10 19 30 36
270;10;2 6 15 19 32 39
271;0;3 5 13 21 30 38
272;14;4 6 15 19 28 38
273;12;3 5 16 23 25 34
274;11;3 7 14 22 32 34
275;16;2 5 14 24 29 38
276;13;4 8 16 22 30 38
277;7;4 7 10 20 32 35
278;15;4 5 16 22 26 37
279;5;4 6 14 18 26 33
280;14;3 6 14 20 27 37
281;8;2 6 16 18 29 33
282;0;3 6 14 21 29 36
283;17;1 5 15 18 31 36
284;15;4 6 11 22 31 38
285;12;3 6 14 20 32 38
286;13;1 5 11 22 32 34
287;14;4 5 16 17 25 36
288;9;4 7 9 21 31 33
289;10;3 6 16 23 25 40
290;16;1 5 9 22 29 36
291;11;4 6 11 23 26 35
292;15;4 5 16 20 25 37
293;6;4 7 15 22 27 33
294;0;2 6 15 18 30 33
295;13;4 8 16 23 32 37
296;14;4 6 14 24 27 40
297;12;2 6 15 20 30 33
298;15;4 5 11 20 29 40
299;14;4 6 9 23 28 38
300;13;3 7 10 19 31 35
301;0;3 5 12 21 27 37
302;16;2 5 11 23 30 35
303;11;4 7 14 18 32 38
304;10;2 5 11 18 26 40
305;15;4 5 16 18 28 40
306;12;1 5 12 21 31 33
307;9;3 7 13 23 32 33
308;15;2 5 15 21 31 34
309;13;2 6 14 22 32 35
310;14;4 5 10 21 32 37
311;0;3 5 9 22 26 39
312;15;4 6 14 22 28 38
313;12;4 6 13 21 25 39
314;16;3 5 15 19 31 37
315;14;4 6 16 24 31 37
316;11;4 7 10 22 30 39
317;13;4 6 13 23 30 37
318;15;4 5 14 22 25 38
319;10;4 7 11 19 26 39
320;14;4 5 9 21 30 39
321;8;4 6 10 23 26 34
322;0;2 6 14 20 30 37
323;12;4 7 13 18 28 37
324;13;4 7 14 20 27 37
325;7;4 7 12 24 25 34
326;9;4 8 13 21 32 34
327;15;4 5 15 18 28 39
328;16;2 5 15 21 26 37
329;14;2 5 13 17 27 39
330;13;3 7 10 24 32 39
331;11;3 6 16 24 31 33
332;0;4 6 15 23 31 38
333;15;4 5 9 20 31 39
334;12;3 5 15 23 29 40
335;14;4 5 14 22 28 40
336;10;3 5 15 23 32 36
337;3;3 7 13 22 26 33
338;15;4 5 12 18 29 38
339;4;4 8 15 18 25 33
340;13;4 7 16 19 27 38
341;14;3 6 16 18 31 38
342;16;3 5 11 23 29 39
343;0;3 6 9 22 25 37
344;12;4 6 10 19 26 39
345;11;2 5 11 17 25 35
346;9;3 6 11 23 30 33
347;15;4 5 16 20 27 36
348;13;4 7 10 17 28 39
349;14;2 5 9 21 28 39
350;15;4 6 15 24 29 38
351;0;4 7 15 18 31 35
352;6;4 7 13 19 32 34
353;2;3 6 12 20 25 35
354;12;1 5 10 17 29 33
355;10;4 6 16 21 26 36
356;17;2 5 10 22 27 36
357;16;3 5 15 22 30 35
358;14;3 7 16 19 30 38
359;13;3 5 12 17 29 33
360;15;2 5 16 24 29 40
361;11;2 5 15 18 25 40
362;14;4 6 15 17 26 38
363;13;3 6 10 21 32 39
364;0;3 7 15 18 32 34
365;8;3 5 10 19 32 34
366;12;4 5 16 23 28 40
367;15;2 5 11 20 28 40
368;9;3 6 9 23 32 33
369;16;3 5 14 24 29 36
370;14;3 5 13 18 32 37
371;15;2 5 16 21 25 37
372;10;4 8 10 22 32 35
373;13;4 6 13 17 30 35
374;0;4 5 13 24 30 40
375;7;4 6 12 21 32 33
376;12;4 8 9 22 30 37
377;11;3 5 11 22 31 34
378;14;3 5 14 22 25 39
379;15;1 5 13 17 32 34
380;13;4 7 12 24 31 37
381;15;2 5 13 22 27 40
382;16;2 5 13 19 27 36
383;0;4 5 14 18 30 35
384;12;3 6 14 17 32 35
385;14;3 5 12 23 26 39
386;9;4 7 14 22 31 34
387;13;3 6 16 21 30 35
388;10;3 6 13 21 29 33
389;15;2 5 9 20 30 38
390;11;4 7 13 23 32 38
391;14;3 5 13 24 30 38
392;15;1 5 13 17 31 36
393;0;4 6 14 22 31 39
394;16;1 5 11 21 30 35
395;12;2 6 14 23 32 34
396;13;3 5 12 19 26 36
397;14;2 6 12 24 32 38
398;15;4 6 16 22 30 37
399;13;3 7 14 23 30 34
400;0;4 7 13 23 28 40
401;11;3 5 10 23 31 34
402;10;4 8 16 22 32 34
403;12;3 6 15 17 29 33
404;8;4 7 10 22 25 36
405;9;4 8 11 19 31 33
406;14;4 6 15 21 28 37
407;16;2 5 15 18 31 37
408;15;3 6 10 23 28 37
409;14;3 6 9 18 26 36
410;13;3 7 12 20 31 36
411;6;4 7 11 17 25 33
412;12;4 7 9 19 27 40
413;0;3 7 16 23 31 38
414;15;2 5 9 20 32 39
415;14;3 6 13 18 27 36
416;11;1 5 12 24 32 33
417;13;4 5 13 18 32 36
418;15;2 5 12 19 32 35
419;10;4 8 13 22 32 37
420;16;2 5 14 24 28 38
421;5;4 6 14 18 32 33
422;7;3 7 16 18 28 33
423;14;2 5 12 20 25 36
424;0;3 7 15 18 32 33
425;9;4 7 12 23 31 33
426;12;4 8 16 19 30 38
427;17;1 5 15 20 31 38
428;15;3 6 12 24 30 36
429;13;4 7 14 19 27 38
430;14;3 5 9 21 28 37
431;15;2 5 14 17 27 40
432;11;4 6 10 20 32 39
433;12;4 6 14 23 25 36
434;16;4 5 14 18 28 36
435;0;4 5 9 17 26 34
436;13;4 7 9 18 28 39
437;10;4 7 16 20 25 39
438;14;3 6 9 18 30 35
439;15;4 5 14 19 26 37
440;13;4 7 14 18 29 37
441;12;4 7 13 24 31 35
442;0;1 5 14 20 30 37
443;14;2 6 16 21 30 35
444;9;4 8 16 20 26 33
445;11;3 7 9 23 30 34
