ID;CLASS;EVENTS
0;20;5 9 14 20 24 30 33 40 44 49 55 60 65 70 72 80
1;3;5 10 15 20 25 30 34 40 45 50 55 58 65 70 75 80
2;15;5 10 15 20 25 29 35 40 45 50 55 56 62 70 75 80
3;19;5 10 15 20 25 30 35 39 45 49 55 60 64 70 73 80
4;12;5 10 15 20 25 30 33 38 44 50 51 58 65 68 74 80
5;0;5 10 15 20 25 30 32 39 41 48 51 60 64 69 73 80
6;23;5 10 15 20 25 30 34 37 45 50 54 59 64 70 75 80
7;24;5 10 15 20 23 30 35 39 42 49 55 60 63 70 72 80
8;16;3 6 13 19 24 30 34 40 43 48 55 60 64 70 75 80
9;13;3 6 12 17 23 30 34 40 41 47 55 60 65 70 72 80
10;5;5 10 15 20 25 29 35 40 45 50 55 56 64 70 74 78
11;6;5 10 15 20 25 28 34 40 44 50 55 60 64 70 75 80
12;4;5 7 15 20 25 30 35 40 43 48 55 60 65 69 75 80
13;1;4 6 13 19 24 30 34 40 45 48 55 58 64 70 75 80
14;21;5 10 15 20 24 26 35 40 44 50 55 60 64 70 73 80
15;11;4 10 14 20 24 26 31 40 45 46 51 60 62 70 72 80
16;17;5 10 15 20 25 29 34 39 45 49 53 60 65 70 75 80
17;8;1 10 11 20 22 30 34 40 44 49 55 60 62 70 72 80
18;14;3 6 12 17 23 30 34 40 45 49 55 60 64 70 75 80
19;22;2 6 11 16 22 30 34 39 41 49 55 60 65 70 72 80
20;18;5 9 15 20 25 30 33 40 45 50 52 60 64 70 75 80
21;9;2 7 12 20 22 30 31 40 44 50 52 60 62 69 72 80
22;20;5 10 15 20 25 28 33 40 45 50 55 60 65 70 75 76
23;10;5 10 15 20 25 30 33 37 45 50 54 60 65 69 75 80
24;2;5 8 15 20 24 29 34 40 45 49 55 60 63 70 75 80
25;25;3 6 12 18 23 30 34 39 45 50 55 60 62 70 75 80
26;7;4 6 15 20 25 30 33 39 45 50 53 59 65 70 75 80
27;3;5 10 15 20 25 30 34 40 45 48 54 57 65 70 75 80
28;15;3 8 13 20 23 27 35 40 43 50 55 56 63 70 75 80
29;19;3 8 13 20 23 29 35 37 45 50 55 60 62 70 72 80
30;12;5 10 15 20 25 30 34 39 43 50 53 59 65 67 75 78
31;0;2 6 12 16 22 30 31 38 41 49 51 60 64 68 73 80
32;23;4 6 15 19 24 30 33 37 45 50 53 59 64 70 75 80
33;24;5 10 15 20 23 30 35 39 42 48 55 60 64 70 72 80
34;16;3 6 13 20 24 30 34 40 43 48 55 60 65 70 75 80
35;13;4 6 15 18 24 30 34 39 44 50 52 57 65 70 73 80
36;5;4 8 13 20 24 26 35 39 44 50 55 60 62 70 73 80
37;6;4 8 14 20 24 29 33 40 45 50 55 60 64 70 75 80
38;4;1 6 11 16 22 28 34 40 45 49 55 60 62 70 75 80
39;1;5 6 15 20 25 29 33 40 45 48 55 59 64 70 75 80
40;21;5 10 15 20 25 27 35 37 42 50 55 59 65 70 73 80
41;11;5 10 15 20 24 30 31 39 45 50 53 60 64 69 75 80
42;20;3 6 13 17 23 28 34 40 45 50 55 60 65 70 73 79
43;17;5 10 15 20 25 30 34 40 45 49 55 58 65 70 75 80
44;8;2 6 11 18 23 30 34 37 45 49 55 60 62 70 74 80
45;14;3 6 13 19 24 30 34 40 44 49 55 60 64 70 75 80
46;22;5 7 15 20 25 30 34 40 42 48 55 60 65 70 72 80
47;18;3 6 13 18 23 30 34 38 45 50 55 59 63 70 75 80
48;9;2 6 12 20 23 30 33 38 45 50 53 60 63 68 73 80
49;3;4 6 14 20 24 30 34 40 45 49 55 57 64 70 75 80
50;10;4 8 15 20 25 29 33 39 44 48 55 60 65 70 75 80
51;2;3 6 13 20 24 29 34 40 45 50 55 60 63 70 75 80
52;25;3 6 12 17 23 30 34 40 45 48 55 59 63 70 75 80
53;7;5 6 14 20 24 30 34 40 41 49 55 60 65 70 72 80
54;15;5 9 15 20 24 27 35 40 41 50 55 56 62 70 75 80
55;19;5 10 15 20 25 30 34 39 45 50 55 59 64 70 75 79
56;12;4 6 15 18 24 28 34 39 44 50 55 60 65 67 74 80
57;0;5 10 15 20 24 30 31 40 42 50 52 60 65 66 75 80
58;23;5 7 15 20 24 30 34 40 44 49 55 60 65 70 75 80
59;24;3 6 14 20 24 30 35 37 45 49 55 60 63 70 74 80
60;16;5 10 15 20 25 30 32 40 45 50 53 60 65 69 75 80
61;13;5 10 15 20 24 30 34 40 42 46 55 60 65 70 72 80
62;5;4 8 13 20 23 26 35 40 44 50 55 59 62 70 74 79
63;6;5 8 15 20 25 30 35 40 43 48 55 60 65 70 75 80
64;4;3 6 14 19 24 30 34 38 45 50 55 60 64 70 75 80
65;20;5 8 15 20 24 29 34 40 45 49 55 60 65 70 73 80
66;1;3 6 13 18 24 30 34 40 45 49 55 58 64 70 75 80
67;21;5 6 15 20 25 30 34 40 44 49 55 60 65 70 75 80
68;11;3 6 14 19 24 30 31 37 45 50 51 60 62 69 74 80
69;17;3 6 12 18 24 29 34 40 44 48 54 59 64 69 75 80
70;8;5 10 15 20 24 28 35 37 45 50 55 58 64 70 75 79
71;14;5 10 15 20 25 30 35 40 42 49 55 60 65 70 75 80
