ID;CLASS;EVENTS
0;2;1 7 11 20 23 29 32 39 41 47 50 55 63 66 74 76
1;1;1 6 11 16 23 29 35 40 45 49 53 59 63 68 73 76
2;0;1 10 11 16 21 26 32 36 45 47 54 59 64 69 73 79
3;4;5 10 11 16 21 26 35 38 45 49 50 59 64 69 73 76
4;7;1 10 14 20 25 27 35 38 42 46 50 56 60 69 74 78
5;6;5 10 13 17 22 26 31 37 41 46 54 56 64 69 71 78
6;9;5 7 13 20 22 27 34 39 45 49 53 58 64 66 71 76
7;8;5 10 11 19 22 27 35 37 42 46 50 56 63 69 73 79
8;5;3 7 14 20 25 30 34 40 41 49 53 57 61 66 71 76
9;3;1 9 13 20 25 30 35 40 42 48 50 56 63 66 71 76
10;2;1 7 11 20 23 29 32 38 41 47 50 55 64 66 74 76
11;1;1 6 13 18 25 30 35 40 45 49 50 58 63 67 73 76
12;0;5 7 11 17 21 26 32 36 45 47 54 59 64 69 71 79
13;4;5 10 11 17 21 26 32 37 45 48 53 59 64 68 73 76
14;7;1 7 12 20 25 29 34 38 42 46 50 56 63 69 74 78
15;6;5 10 13 19 22 27 31 37 42 46 53 56 63 69 71 78
16;9;5 6 12 16 25 27 34 40 41 48 53 59 64 67 71 76
17;8;5 6 13 20 21 28 34 38 45 46 50 55 60 69 74 79
18;5;5 9 15 20 23 30 31 39 41 48 53 57 63 66 71 76
19;3;5 10 15 19 25 29 34 39 42 48 50 56 61 66 71 76
20;2;5 10 14 20 23 27 32 37 41 47 50 55 64 66 74 76
21;1;5 6 14 20 25 30 34 39 42 47 50 55 63 66 74 76
22;0;3 10 11 17 21 26 32 36 45 47 54 59 63 69 73 79
23;4;5 10 11 17 21 26 35 37 45 49 53 59 64 68 73 76
24;7;1 10 13 20 25 30 35 39 42 48 50 55 60 68 73 78
25;2;1 7 13 20 24 29 32 39 41 47 50 56 63 67 74 76
26;6;5 10 13 17 22 27 31 37 41 46 54 56 64 69 71 78
27;9;5 9 15 17 22 27 32 40 45 49 54 56 63 66 71 78
28;8;1 9 13 16 25 26 32 36 41 48 50 59 64 69 71 79
29;5;4 9 11 16 23 27 35 37 41 46 50 59 60 69 74 79
