dataset,model,dim,exp,acc
adult,w2v,50,0,0.8528659160696008
adult,Glove,50,0,0.8421187308085978
adult,w2v,50,0,0.8549129989764586
adult,Glove,50,0,0.8467246673490276
adult,w2v,50,0,0.8346980552712385
adult,Glove,50,0,0.8298362333674514
adult,w2v,50,0,0.8479651906833888
adult,Glove,50,0,0.83849500895828
adult,w2v,50,0,0.8392628615305862
adult,Glove,50,0,0.8351676478116201
adult,w2v,50,0,0.8436140261069874
adult,Glove,50,0,0.8418223701049399
adult,w2v,50,0,0.8420783209623752
adult,Glove,50,0,0.8461735346813412
adult,w2v,50,0,0.8502687484003072
adult,Glove,50,0,0.8502687484003072
adult,w2v,50,0,0.8359355003839263
adult,Glove,50,0,0.8390069106731508
adult,w2v,50,0,0.8464294855387765
adult,Glove,50,0,0.8433580752495521
adult,w2v,50,1,0.842374616171955
adult,Glove,50,1,0.843654042988741
adult,w2v,50,1,0.8372569089048106
adult,Glove,50,1,0.8426305015353122
adult,w2v,50,1,0.843654042988741
adult,Glove,50,1,0.8421187308085978
adult,w2v,50,1,0.8471973381110827
adult,Glove,50,1,0.8392628615305862
adult,w2v,50,1,0.846685436396212
adult,Glove,50,1,0.8548758638341438
adult,w2v,50,1,0.8402866649603277
adult,Glove,50,1,0.8367033529562324
adult,w2v,50,1,0.836447402098797
adult,Glove,50,1,0.846685436396212
adult,w2v,50,1,0.8351676478116201
adult,Glove,50,1,0.840542615817763
adult,w2v,50,1,0.8520604044023548
adult,Glove,50,1,0.8510366009726132
adult,w2v,50,1,0.8374712055285385
adult,Glove,50,1,0.8423342718198106
adult,w2v,50,2,0.8480040941658137
adult,Glove,50,2,0.84007164790174
adult,w2v,50,2,0.8306038894575231
adult,Glove,50,2,0.8398157625383829
adult,w2v,50,2,0.8344421699078812
adult,Glove,50,2,0.8283009211873081
adult,w2v,50,2,0.8436140261069874
adult,Glove,50,2,0.8333759918095726
adult,w2v,50,2,0.8510366009726132
adult,Glove,50,2,0.8479651906833888
adult,w2v,50,2,0.8530842078320963
adult,Glove,50,2,0.8502687484003072
adult,w2v,50,2,0.8487330432556949
adult,Glove,50,2,0.8459175838239058
adult,w2v,50,2,0.8525723061172255
adult,Glove,50,2,0.8461735346813412
adult,w2v,50,2,0.8443818786792936
adult,Glove,50,2,0.8338878935244433
adult,w2v,50,2,0.8492449449705657
adult,Glove,50,2,0.8448937803941643
adult,w2v,50,3,0.8513306038894575
adult,Glove,50,3,0.8405834186284544
adult,w2v,50,3,0.8444216990788127
adult,Glove,50,3,0.8439099283520982
adult,w2v,50,3,0.8464687819856704
adult,Glove,50,3,0.832906857727738
