dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30,K_01,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30
adult.D97.N48842.C2.num,w2v,50,-1,0.12962253928991804,0.15104590357198555,0.15894299863867037,0.1228350729963397,0.15894299863867034,0.14085327612558185,0.16536913150726787,0.12168226758860425,0.1653428370375409,0.15104590357198555,0.16508764590696245,0.12135476159782185,0.12168226758860425,0.14062827671150485,0.14110371183578563,0.16520366043970328,0.15924341873839276,0.1444641662761266,0.14105594567896457,0.14085327612558188,0.16502900342284815,0.14062827671150485,0.1653691315072679,0.15776813863029232,0.15096088188471307,0.15104590357198555,0.16536913150726784,0.16536913150726784,0.14105594567896457,0.13059813570294232,0.060447,0.067114,0.066613,0.058316,0.063534,0.040328,0.057596,0.078839,0.046194,0.06879,0.05224,0.065445,0.080252,0.046032,0.041947,0.065902,0.060354,0.058622,0.049657,0.045485,0.047817,0.047658,0.055095,0.060138,0.060849,0.06888,0.050813,0.056869,0.046593,0.070158,4,5,5,4,5,3,4,7,4,5,4,5,7,3,3,4,5,5,3,3,4,3,4,5,5,5,4,4,3,6
adult.D97.N48842.C2.num,w2v,100,-1,0.12422434285021307,0.14786258272926164,0.14404124936053936,0.16358053735340441,0.15626560815057886,0.13984763931113076,0.16358053735340441,0.12612984411910544,0.163070684911712,0.15934304445352473,0.16358053735340441,0.15504284316888153,0.12963936331772247,0.1396932164746499,0.13882916727651284,0.16358053735340444,0.14404124936053936,0.1480750177828721,0.1396932164746499,0.1388496377520498,0.1639793502331392,0.1388496377520498,0.16358053735340444,0.147856376140179,0.15659107343885084,0.13752194379745064,0.1206261781657724,0.163070684911712,0.13921999394728307,0.15692694373634264,0.099014,0.09916,0.096814,0.082018,0.139958,0.078986,0.109265,0.118782,0.088426,0.099095,0.083969,0.098469,0.113916,0.072377,0.071768,0.089093,0.090422,0.093862,0.074287,0.094463,0.076759,0.07654,0.08377,0.095162,0.096163,0.091928,0.085732,0.09749,0.072156,0.096848,4,5,5,4,5,3,4,7,4,5,4,5,7,3,3,4,5,5,3,3,4,3,4,5,5,5,4,4,3,6
adult.D97.N48842.C2.num,w2v,200,-1,0.1611201210851237,0.15441843973432862,0.14769191923396482,0.1611201210851237,0.13946721328140588,0.13531522876948474,0.1611201210851237,0.1281973221922028,0.13595644280595517,0.11899868211489235,0.16110373794450147,0.1543016688726864,0.12789267587351008,0.13664307742176443,0.13665959580667855,0.16110373794450147,0.13946721328140588,0.13946721328140588,0.13664307742176443,0.13666936271860797,0.12692183354962955,0.13664307742176443,0.1611201210851237,0.14772448677121794,0.13811322920242203,0.13865995364849995,0.1350872949594471,0.1611201210851237,0.13535102263870613,0.13379954279135714,0.20698,0.180591,0.171945,0.142789,0.155715,0.126836,0.141131,0.186284,0.139453,0.16768,0.148491,0.158202,0.20774,0.126509,0.119604,0.13406,0.1578,0.158225,0.127225,0.130146,0.153546,0.129871,0.150745,0.166345,0.160617,0.17585,0.147889,0.145089,0.127262,0.173696,4,5,5,4,5,3,4,7,4,5,4,5,7,3,3,4,5,5,3,3,4,3,4,5,5,5,4,4,3,6
adult.D97.N48842.C2.num,Glove,50,-1,0.1442628350356514,0.1267445248756921,0.12614810099800164,0.14426283503565138,0.12188053939397506,0.12177308293945971,0.10755878395695839,0.10863116715440553,0.10832443225905113,0.12614810099800164,0.10756625748179782,0.12611093749438634,0.10802490474752699,0.12177308293945971,0.12166738849580708,0.14426283503565138,0.1261481009980016,0.12189445831078186,0.12166738849580708,0.1216673884958071,0.1082537104816424,0.12166738849580708,0.10756625748179782,0.12614810099800164,0.12678066438618787,0.12614810099800164,0.10831379942717902,0.1441559157665528,0.12177308293945974,0.12080447875665332,0.047035,0.047882,0.054097,0.037974,0.048969,0.034682,0.041558,0.099041,0.048211,0.051966,0.042093,0.05515,0.079759,0.034993,0.036226,0.049749,0.044268,0.042055,0.040411,0.039383,0.047427,0.032956,0.046854,0.046937,0.047415,0.045881,0.044567,0.039287,0.033298,0.078351,4,5,5,4,5,3,4,7,4,5,4,5,7,3,3,4,5,5,3,3,4,3,4,5,5,5,4,4,3,6
adult.D97.N48842.C2.num,Glove,100,-1,0.1547947667474222,0.13829478209761756,0.1470979742239236,0.15440715550869738,0.13756812760778225,0.17105155082916354,0.1582646200888251,0.12121082841236734,0.1582646200888251,0.14698646166271928,0.14686062585935597,0.14121587776305497,0.12905632815367282,0.13563197520440023,0.171065506526191,0.1378495849648393,0.1300454583438161,0.13756812760778228,0.17105155082916357,0.1710515508291635,0.15440715550869738,0.17258001380695112,0.14688039909974793,0.1448963329100851,0.13756812760778228,0.13812795975419448,0.1547530558628542,0.1547530558628542,0.17107417599714353,0.13393856513065303,0.068718,0.125838,0.121008,0.085378,0.170926,0.088514,0.103695,0.130412,0.107193,0.226147,0.085792,0.151871,0.119721,0.079432,0.066363,0.121649,0.180303,0.123878,0.073841,0.083934,0.150636,0.076001,0.134838,0.165724,0.112223,0.097351,0.099034,0.096305,0.069714,0.104543,4,5,5,4,5,3,4,7,4,5,4,5,7,3,3,4,5,5,3,3,4,3,4,5,5,5,4,4,3,6
adult.D97.N48842.C2.num,Glove,200,-1,0.11899071984002041,0.11910569468574084,0.11751259179990867,0.11675290499989456,0.11456077822617868,0.13903780172604593,0.1243746073909794,0.10887714381490605,0.1165573387743622,0.11751259179990867,0.1243746073909794,0.11478386896343977,0.10588933811210548,0.13934912310126685,0.13934912310126685,0.12405147066050702,0.11456077822617866,0.11368524430006886,0.1390378017260459,0.1390288409499639,0.12437460739097941,0.11660658898146954,0.1243746073909794,0.11689019910182899,0.11456077822617866,0.11642259999827761,0.12280022826784516,0.12280022826784516,0.13934912310126688,0.11431832016001861,0.166976,0.196711,0.228508,0.197029,0.194728,0.155587,0.212336,0.210568,0.210913,0.254752,0.347383,0.235855,0.284473,0.152564,0.193012,0.181872,0.184782,0.203719,0.14439,0.172446,0.333915,0.158479,0.185988,0.203936,0.186212,0.239773,0.212894,0.169743,0.156132,0.21357,4,5,5,4,5,3,4,7,4,5,4,5,7,3,3,4,5,5,3,3,4,3,4,5,5,5,4,4,3,6
anneal.D73.N898.C6.num,w2v,50,-1,0.11485338118258473,0.0758415466710304,0.19294320283355085,0.11214931666340952,0.11485338118258473,0.1636825041857516,0.08797847196256375,0.11214931666340952,0.13894088363090346,0.16101120127257323,0.09629344154504615,0.17123097215335892,0.08797847196256375,0.0744349972309362,0.1585722850714843,0.18380784519818927,0.14810259793165018,0.11485338118258473,0.1486663182162492,0.0744349972309362,0.18409472344226208,0.16497086334449984,0.1833650445535116,0.26689230831428346,0.1413985508177606,0.13894088363090346,0.27242243170584224,0.08013874056446313,0.13894088363090346,0.08797847196256375,0.008078,0.003549,0.004792,0.003554,0.00313,0.005298,0.005004,0.003567,0.003043,0.003592,0.00438,0.005319,0.006026,0.003286,0.003858,0.006408,0.005181,0.002989,0.003626,0.003733,0.006931,0.004701,0.00588,0.005146,0.004209,0.005557,0.004854,0.004444,0.006749,0.007019,2,3,5,3,2,5,3,3,3,4,4,6,3,3,4,5,4,2,4,3,6,4,5,7,5,3,5,3,3,3
anneal.D73.N898.C6.num,w2v,100,-1,0.11939886310119396,0.13904673929484984,0.16575198220067971,0.07360126376855342,0.11939886310119396,0.18610274447692643,0.0720873651494359,0.08809479888818497,0.07152609786184069,0.166720170604144,0.1505331941825122,0.2425366564002689,0.07464942971702099,0.07464942971702099,0.1732610684535177,0.1519526254817183,0.1633641988938834,0.11939886310119396,0.16079459577643626,0.14592334848741456,0.164022007974533,0.1505331941825122,0.16126727086642645,0.2759010812278753,0.18760928675174302,0.07464942971702099,0.1856492612886116,0.08809479888818497,0.138779845961808,0.08809479888818497,0.002822,0.004417,0.00409,0.003658,0.002739,0.005774,0.003641,0.005191,0.00335,0.007755,0.00399,0.006508,0.003964,0.003927,0.003742,0.005216,0.004265,0.002465,0.004548,0.003346,0.004483,0.005945,0.005032,0.007549,0.004108,0.004721,0.006869,0.005484,0.003044,0.007333,2,3,5,3,2,5,3,3,3,4,4,6,3,3,4,5,4,2,4,3,6,4,5,7,5,3,5,3,3,3
anneal.D73.N898.C6.num,w2v,200,-1,0.11478318645806306,0.0744231321687667,0.17547401415055164,0.07401574091340381,0.11049790664045028,0.16983637974247331,0.08785708140743202,0.08810236829178442,0.07560636657305382,0.16190383146217543,0.17098430125001013,0.20487023333146653,0.13867412596671722,0.13883520551425552,0.1478469753492584,0.175089114106905,0.1582966915750752,0.11478318645806306,0.14767404820127109,0.08810236829178442,0.16818960346533862,0.15212031714710222,0.18533187853651492,0.27401768897722467,0.16976184313680517,0.08810236829178442,0.18171464866318884,0.07573784205946942,0.13867412596671722,0.07451170247014652,0.008674,0.006103,0.006713,0.00409,0.003585,0.006802,0.005286,0.006847,0.006491,0.004568,0.00648,0.010168,0.005289,0.006291,0.012747,0.00686,0.009837,0.005721,0.007757,0.009737,0.008916,0.00524,0.006629,0.007023,0.006025,0.004731,0.006001,0.005324,0.007112,0.005052,2,3,5,3,2,5,3,3,3,4,4,6,3,3,4,5,4,2,4,3,6,4,5,7,5,3,5,3,3,3
anneal.D73.N898.C6.num,Glove,50,-1,0.08278937172413443,0.08591053837892276,0.09603961928696922,0.08591053837892276,0.08278937172413443,0.09249566855669082,0.09313652883979298,0.08591053837892276,0.0942514792777394,0.09095189584009031,0.08737296382694273,0.08771464384115976,0.09313652883979298,0.09313652883979298,0.08832988782006702,0.0960396192869692,0.08530404175901522,0.08290993384352247,0.08832988782006702,0.09313652883979298,0.08100297523684091,0.08510563719352296,0.09222460312151931,0.08209397596108706,0.08447751200051826,0.08591053837892276,0.09249566855669081,0.09290474975881101,0.08591053837892276,0.09425147927773941,0.006717,0.003889,0.004755,0.00322,0.003342,0.00274,0.006608,0.003388,0.002534,0.002995,0.003385,0.006261,0.006918,0.005178,0.003668,0.003464,0.003582,0.002077,0.004159,0.005752,0.005986,0.00297,0.003166,0.003449,0.006723,0.002996,0.002999,0.002093,0.003789,0.00277,2,3,5,3,2,5,3,3,3,4,4,6,3,3,4,5,4,2,4,3,6,4,5,7,5,3,5,3,3,3
