dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30,K_01,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30
T100k.D2k.L50.P0.O0.C6.data,w2v,50,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9665290679296775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.097525,0.104196,0.096554,0.097444,0.105007,0.104284,0.096689,0.105368,0.104734,0.096848,0.105052,0.104308,0.096361,0.104901,0.103861,0.096223,0.105445,0.103974,0.097641,0.104552,0.103986,0.136059,0.106203,0.103794,0.096605,0.104812,0.103841,0.095967,0.105226,0.10401,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O0.C6.data,w2v,100,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.966345897545115,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.158525,0.169072,0.16849,0.169267,0.169018,0.168153,0.168393,0.168736,0.169559,0.169144,0.169445,0.168918,0.1682,0.168161,0.168181,0.169176,0.168583,0.16922,0.169662,0.168857,0.168307,0.211149,0.168149,0.167929,0.169605,0.169146,0.168436,0.16819,0.169715,0.167986,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O0.C6.data,w2v,200,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9644512922879689,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.276051,0.291685,0.290767,0.301203,0.276659,0.274159,0.276562,0.27442,0.275983,0.276931,0.274688,0.274881,0.274258,0.273746,0.274557,0.274719,0.2746,0.274556,0.274424,0.273395,0.275167,0.361798,0.274752,0.274746,0.274718,0.276355,0.276215,0.275519,0.275113,0.274693,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O0.C6.data,Glove,50,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.964449470826836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.080225,0.089996,0.089874,0.089478,0.090152,0.089193,0.090376,0.089683,0.089812,0.089621,0.090278,0.090205,0.089423,0.089431,0.090547,0.090507,0.092749,0.089889,0.089994,0.088723,0.09008,0.127037,0.090175,0.089755,0.089108,0.090063,0.090045,0.090038,0.089556,0.089707,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O0.C6.data,Glove,100,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9064447040383204,1.0,0.9702977993022289,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.135807,0.150637,0.150757,0.151158,0.151201,0.151059,0.151887,0.152198,0.152187,0.151496,0.151272,0.150312,0.150829,0.15263,0.149969,0.15193,0.152275,0.152112,0.150173,0.200822,0.151662,0.21388,0.15126,0.151372,0.150633,0.151184,0.151779,0.151326,0.15228,0.151236,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O0.C6.data,Glove,200,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9018533145953896,1.0,1.0,1.0,1.0,1.0,1.0,0.9645129425098458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.246021,0.26731,0.266322,0.266518,0.265982,0.268647,0.269355,0.267432,0.269829,0.268643,0.268292,0.265163,0.265985,0.268556,0.393093,0.274437,0.273031,0.273149,0.286384,0.272049,0.275491,0.379113,0.275611,0.270986,0.269973,0.27624,0.266264,0.26627,0.266778,0.270162,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O10.C6.data,w2v,50,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.095986,0.110396,0.111153,0.111109,0.111033,0.110685,0.111098,0.111149,0.110519,0.110858,0.110915,0.110643,0.110582,0.110563,0.111504,0.111022,0.110739,0.11059,0.111995,0.110935,0.110553,0.111124,0.111287,0.111339,0.111441,0.111078,0.110306,0.110725,0.110811,0.110572,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O10.C6.data,w2v,100,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.151348,0.176701,0.176173,0.177062,0.176982,0.177757,0.177038,0.177076,0.177553,0.177644,0.177545,0.176792,0.177434,0.177133,0.177316,0.177757,0.176961,0.176779,0.177008,0.178048,0.176163,0.17683,0.177209,0.180042,0.176882,0.177497,0.177883,0.179519,0.177817,0.177319,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O10.C6.data,w2v,200,-1,1.0,1.0,1.0,1.0,0.9010797260314096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.266193,0.287009,0.288562,0.287974,0.348629,0.304505,0.304837,0.305864,0.309953,0.287553,0.287323,0.289575,0.290429,0.289182,0.287474,0.288079,0.287481,0.29003,0.288326,0.288612,0.288325,0.288555,0.286503,0.288649,0.287397,0.287128,0.286709,0.28693,0.28836,0.289051,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O10.C6.data,Glove,50,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9162244679212979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.084392,0.094947,0.096154,0.095135,0.094863,0.094694,0.094613,0.097858,0.095798,0.095685,0.094538,0.094937,0.093944,0.095396,0.094944,0.095505,0.117943,0.095374,0.095242,0.09479,0.103126,0.094157,0.094465,0.095199,0.096012,0.095188,0.095101,0.096116,0.095952,0.093869,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
