dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
adult.D97.N48842.C2.num,Glove,100,8,0.12290035671433529,0.12182518710378357,0.12182518710378357,0.1350449385243075,0.11728466022558685,0.12276601030508348,0.12434456451925147,0.12277134767593798,0.12271200156260116,0.11943745204165629,0.1321609663511968,0.12273098317242097,0.12321227900557748,0.11912798345957845,0.131314245052584,0.12276327885556151,0.1321609663511968,0.11740160759251786,0.12414679079800411,0.13439299314918882,0.12968109842993908,0.12484251231495946,0.12693106497686166,0.12880185103606367,0.12222807677057711,0.12670904685843912,0.12282220463324714,0.122771347675938,0.12266898624391433,0.12214120330416199,0.181614,0.233157,0.180265,0.121245,0.123873,0.207576,0.14037,0.237943,0.127076,0.150381,0.174622,0.145396,0.203915,0.199198,0.138855,0.181727,0.16979,0.127218,0.161671,0.151798,0.23856,0.14083,0.142032,0.184404,0.153999,0.135362,0.148867,0.270588,0.162328,0.125443
anneal.D73.N898.C6.num,Glove,100,8,0.09780254144560539,0.09288642584341951,0.09867094661075682,0.09675441750072378,0.09993402572277067,0.09283623784232249,0.10088803446795183,0.0958744235607214,0.09581881159753114,0.09777954646990597,0.0915534769341359,0.09460918905889705,0.09252091940788772,0.09932327814091983,0.09743414617198885,0.1009210845828372,0.08907995296657571,0.10848167570940051,0.09289714146593135,0.09590077154362166,0.10137338082936734,0.09691935894971579,0.09232317230329183,0.09637291731884066,0.08840501195764977,0.09990947444796215,0.09974269187059896,0.09270947117193477,0.09507366027019595,0.09289714146593135,0.004317,0.005298,0.005983,0.00748,0.005532,0.005564,0.010302,0.006583,0.008768,0.005455,0.006095,0.007244,0.006806,0.006862,0.005268,0.003621,0.00585,0.004564,0.004929,0.006357,0.006649,0.004856,0.00604,0.004574,0.009945,0.006246,0.005608,0.008316,0.005004,0.005668
breast.D20.N699.C2.num,Glove,100,8,0.3597040549600606,0.3577760295511067,0.36394379723361714,0.3381570995941067,0.3606745828161758,0.35448640153619465,0.3439873168578207,0.3601026336794373,0.357778812354414,0.36264899777831144,0.35524558794517147,0.36182108438292243,0.36357831359463105,0.35697174801744025,0.3474406893338622,0.3577788123544141,0.3646565695277721,0.3601220039446361,0.35777881235441406,0.36182108438292243,0.35777602955110677,0.35777602955110677,0.3552455879451714,0.3552455879451715,0.3577760295511068,0.35777881235441417,0.36732785419733627,0.3464831302389964,0.3622613747214305,0.3656099528180832,0.003065,0.003296,0.003516,0.003036,0.003272,0.003037,0.00353,0.003307,0.003761,0.003293,0.003024,0.003537,0.003305,0.003118,0.003279,0.003732,0.003289,0.003289,0.003523,0.003519,0.003284,0.003285,0.003052,0.003284,0.003295,0.003759,0.003039,0.003269,0.003495,0.003781
chessKRvK.D58.N28056.C18.num,Glove,100,8,0.09711570746517628,0.09480717179536108,0.09682839231469091,0.09485144314288452,0.09468581548682421,0.09720884947451992,0.09819858496585614,0.09756129616070436,0.09468581548682421,0.09420473015683345,0.09612146259851158,0.0944163904753126,0.09470961852921173,0.08050364842667966,0.0993461489346787,0.09703447678140457,0.09470961852921173,0.10096203091821787,0.09424161765040402,0.09647424827943371,0.08652431650487945,0.09472614580251838,0.0948989701541473,0.08863308631905543,0.09752427191348285,0.09439280119448303,0.0947261458025184,0.09747900943050422,0.0946838600655055,0.09332637636938665,0.068783,0.088939,0.094797,0.141858,0.129729,0.184163,0.130036,0.07844,0.137708,0.075184,0.092243,0.076951,0.093832,0.124281,0.085292,0.059426,0.138452,0.10992,0.06815,0.116188,0.119673,0.120077,0.061887,0.10891,0.125466,0.085651,0.123172,0.104189,0.14452,0.111999
connect4.D129.N67557.C3.num,Glove,100,8,0.0010613791599234756,0.001547469688268328,0.0015644739760048423,0.0010753984225441392,0.0013265878500985516,0.0015407018193567112,0.001078852231735858,0.0010855112843789834,0.0013220408694755385,0.0013308393264899088,0.001556951538569501,0.0010573352615260647,0.0010758953444647225,0.0010762601930486037,0.0010760928882413198,0.0020683093728142607,0.0010875049329532461,0.0010777263330467228,0.001375916518341013,0.0015716439148065263,0.0010761950489890815,0.0013311423020507189,0.0010751941054185947,0.0010757732440250288,0.0013329735639941906,0.0010763643064277846,0.0013279936474236722,0.0010576070507094862,0.0010788743899830995,0.0013904921381274762,0.23701,0.263494,0.2338,0.356059,0.294556,0.528611,0.409925,0.271933,0.410807,0.299561,0.239115,0.31176,0.274002,0.369862,0.526534,0.38951,0.50013,0.391809,0.319213,0.212633,1.006435,0.252941,0.386124,0.42728,0.305694,0.527985,0.263061,0.427863,0.503235,0.496637
heart.D52.N303.C5.num,Glove,100,8,0.17016557744854852,0.17389958150778453,0.15547008239300789,0.1495277158760307,0.18957414265967834,0.16243864502935187,0.15908575778613693,0.16876756087323008,0.18638804480653423,0.1694298502831726,0.17773674892839578,0.18021585431849693,0.16370549573673035,0.19197162052028305,0.1846361602782346,0.15724988049719554,0.17419561907713152,0.15736302950436631,0.17728813272032867,0.15826787839773507,0.16519242271241888,0.17520564061643595,0.1581891158623434,0.1693926903986233,0.1609353517127675,0.1682803958863656,0.16346119902958645,0.1543185015901591,0.15893343270055366,0.1738215669517487,0.00311,0.004255,0.003969,0.003309,0.003463,0.003525,0.005988,0.004182,0.003336,0.003524,0.003514,0.004532,0.004586,0.003111,0.003757,0.003679,0.006156,0.004202,0.003321,0.004952,0.003094,0.003299,0.003903,0.005199,0.008957,0.008905,0.01053,0.011093,0.009494,0.003879
ionosphere.D157.N351.C2.num,Glove,100,8,0.07282690172978963,0.09616435308601724,0.08620931415727791,0.0948847064578711,0.10196803344270057,0.09177185643462743,0.10710896892911738,0.10844237130115032,0.1056071631509713,0.09395201561447705,0.06410111085635599,0.0915372882737641,0.08107135381747216,0.10019172799094034,0.10798576724996162,0.06794735708440856,0.08731327235716249,0.08803580092113729,0.09897211150102678,0.07521761162582023,0.10545929504848918,0.10506327064613384,0.08921126906345576,0.09329311151965658,0.09601459967196292,0.11205914872454692,0.1037659239769566,0.09187558659710009,0.08903216231989466,0.08404813500161779,0.004269,0.00506,0.003597,0.005236,0.00495,0.004424,0.003348,0.005933,0.00634,0.005136,0.003786,0.005013,0.004995,0.00529,0.003821,0.00382,0.003826,0.004781,0.003393,0.004038,0.00441,0.003371,0.004617,0.004057,0.003602,0.003555,0.004267,0.004491,0.005795,0.003813
iris.D19.N150.C3.num,Glove,100,8,0.6418541791438285,0.6481484728868419,0.6686491460290276,0.6327017749508593,0.6363209866095656,0.6330200355834353,0.6461888408516003,0.6449935255503495,0.6371945603944793,0.6296088812507737,0.6409901388940935,0.6578286053292592,0.6842533127394601,0.6200357805177935,0.6548456651083772,0.6900903250446554,0.6260059489914015,0.6320171414548197,0.6854068881599575,0.6723377648591295,0.6468709238580584,0.6139767154991531,0.6250631102194201,0.6267091394070136,0.6259017978024337,0.6136956660209862,0.6507995146901756,0.6486997931013183,0.6453697010055189,0.6472158776801863,0.002187,0.002357,0.002334,0.002507,0.002335,0.002438,0.002436,0.00233,0.002836,0.002318,0.002508,0.002518,0.002342,0.002696,0.002162,0.00217,0.002339,0.002336,0.002323,0.002626,0.002339,0.002341,0.002347,0.002349,0.002747,0.002148,0.002155,0.00233,0.002338,0.002446
led7.D24.N3200.C10.num,Glove,100,8,0.4800420511186999,0.47430480804165437,0.44995616085737516,0.5279752839357641,0.4986083699716088,0.48407364319431884,0.4795346551673659,0.48583952078177656,0.526339681991561,0.50146143804174,0.5031714909746996,0.48075670173181273,0.5178370617227955,0.4793053373289527,0.49959656985864165,0.4625777276365295,0.5166873809236655,0.4890687569220885,0.4729913805091386,0.5010800318775824,0.48580582894512775,0.48151258672164027,0.46349908461498535,0.53843722024807,0.46499344961509326,0.46157289699078613,0.49684830480195685,0.49926192320021673,0.4988012309843594,0.46230222717877867,0.007306,0.007228,0.010025,0.006768,0.007143,0.007617,0.007614,0.007203,0.007199,0.007714,0.007209,0.008243,0.007271,0.007246,0.009064,0.008585,0.006726,0.007142,0.009453,0.007595,0.006734,0.008475,0.009061,0.006803,0.009065,0.00715,0.006817,0.007266,0.00802,0.006789
letRecog.D106.N20000.C26.num,Glove,100,8,0.08015051805487505,0.0762215270862219,0.07637775059664949,0.07614124447500296,0.08117000759005269,0.07621006039112224,0.08155975631745173,0.07586120373143644,0.07608054544927917,0.07638870020421128,0.08086491877107266,0.08305290062068925,0.07665836483567907,0.08225781148721309,0.0769747659378261,0.0779629231322352,0.07636181181923246,0.07592218325684082,0.0763130690921263,0.0762248410857634,0.08092796557304903,0.0830200488669197,0.07612033150133028,0.07715536914665543,0.07658154360895039,0.07725389470088184,0.08125818178073284,0.0765407569092592,0.07601326117642525,0.07621006039112224,0.073325,0.085846,0.077414,0.12288,0.111603,0.144902,0.093382,0.084102,0.061147,0.078281,0.064965,0.122824,0.094641,0.12669,0.059111,0.065645,0.082987,0.107667,0.093466,0.111881,0.078888,0.120199,0.098514,0.07078,0.111037,0.064497,0.081034,0.058198,0.096238,0.133331
