dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
adult.D97.N48842.C2.num,w2v,50,4,0.12643110219439727,0.12283982926104518,0.14485610645513655,0.1228421892117255,0.12962253928991804,0.16508764590696243,0.12857446046978918,0.14485610645513655,0.16509939025093923,0.16508764590696243,0.12962253928991804,0.16509381402713694,0.16539143645797466,0.12289602132326666,0.1228291947019774,0.1369574294471666,0.12958963833110784,0.16508764590696243,0.1228285703167417,0.1653691315072679,0.1653691315072679,0.1651216446024365,0.1652506276624816,0.1369574294471666,0.16536044817133547,0.16541027218600535,0.12856901078756847,0.16508764590696245,0.16509381402713694,0.16536913150726787,0.181649,0.058881,0.050548,0.05792,0.063553,0.048304,0.055153,0.055003,0.054247,0.055617,0.058651,0.04983,0.050468,0.065252,0.047129,0.054784,0.058903,0.051071,0.054227,0.053109,0.046099,0.052096,0.05189,0.052411,0.053745,0.052236,0.051044,0.058175,0.053559,0.053448
anneal.D73.N898.C6.num,w2v,50,4,0.1735494542301939,0.14766517006457366,0.16645973051183166,0.1608561354521124,0.1633641988938834,0.1608561354521124,0.1734035241145194,0.17068336986823607,0.17068336986823607,0.14810259793165012,0.14766517006457366,0.14766517006457366,0.16461951972264913,0.09659445405360684,0.16034633211329333,0.1615772679672686,0.16186875672651357,0.16022596190467592,0.14810259793165012,0.16070047764201426,0.1474949542181356,0.11260705174929131,0.1735494542301939,0.1577972183079724,0.15857228507148433,0.1735494542301939,0.1592066277416618,0.1611288910809121,0.16070047764201426,0.1474949542181356,0.005182,0.006915,0.006502,0.003388,0.003891,0.0045,0.004411,0.004225,0.003417,0.004689,0.005078,0.005294,0.003378,0.003124,0.004255,0.003436,0.003659,0.003651,0.004206,0.003998,0.003675,0.00391,0.005209,0.003916,0.004167,0.00525,0.005697,0.003926,0.004801,0.009172
breast.D20.N699.C2.num,w2v,50,4,0.47719690579809276,0.4463024686349249,0.47690234738074094,0.43142196114765785,0.47690234738074094,0.47719690579809276,0.4463024686349249,0.44630246863492495,0.44630246863492495,0.4463024686349249,0.4463024686349249,0.4463024686349249,0.44630246863492495,0.4463024686349249,0.4463024686349249,0.4463024686349249,0.4463024686349249,0.47006773152822734,0.4463024686349249,0.5140269031365788,0.5267155737247197,0.44630246863492495,0.47719690579809276,0.4811976200623272,0.44169454169429545,0.4463024686349249,0.44630246863492495,0.47719690579809276,0.44630246863492495,0.4463024686349249,0.002691,0.002142,0.002371,0.002618,0.002381,0.002632,0.003112,0.003092,0.002619,0.002389,0.003078,0.002373,0.003103,0.002372,0.002385,0.002397,0.003098,0.002401,0.003601,0.002871,0.002866,0.002427,0.00444,0.007048,0.007811,0.007002,0.007436,0.003377,0.002878,0.002115
chessKRvK.D58.N28056.C18.num,w2v,50,4,0.08034781822972048,0.10118879188534328,0.11622730129700909,0.11622730129700906,0.10118879188534328,0.10610935282961102,0.09925696236122823,0.11856413471647133,0.10610935282961102,0.123935898112726,0.10610935282961102,0.123935898112726,0.09925696236122822,0.11622730129700908,0.10610935282961102,0.10118879188534328,0.1162249891844028,0.11624051233874101,0.11624499644345007,0.10118879188534327,0.10970265426761819,0.12393589811272598,0.10610935282961102,0.10499452019157085,0.12393589811272598,0.10610935282961102,0.11622498918440283,0.11622730129700908,0.11624499644345007,0.10610935282961102,0.028589,0.026999,0.032832,0.035384,0.030308,0.027711,0.029241,0.043245,0.030851,0.030344,0.025511,0.029633,0.025395,0.034981,0.024656,0.024656,0.025538,0.036281,0.032695,0.024576,0.026896,0.031033,0.03371,0.025557,0.03007,0.046264,0.033708,0.03485,0.032568,0.030501
connect4.D129.N67557.C3.num,w2v,50,4,0.001955702705946386,0.001244756286193742,0.0024356647145508874,0.002367657277888601,0.002520342349292297,0.0024066151695314054,0.001755980522773503,0.0004823607887421328,0.0016657789906791814,0.0008315668214505317,0.0019342081462526695,0.0004875413569381589,0.002041822392065327,0.0020059665285121157,0.0017407641672024727,0.002652380279816273,0.0017489220999598147,0.0016658686339512832,0.002632913086225196,0.002402305165731766,0.002200631764928044,0.002397034610158164,0.0021253767150343898,0.0024501025526963253,0.001352037796854217,0.0017521725517809109,0.0023496471899149274,0.0016443906190528469,0.0016929542601108098,0.0016723398863078126,0.108671,0.097727,0.086144,0.102915,0.086834,0.108465,0.111178,0.094181,0.100586,0.124729,0.098549,0.122484,0.177967,0.094305,0.08433,0.111121,0.102281,0.112201,0.186033,0.132817,0.094577,0.080839,0.089994,0.087568,0.113489,0.098107,0.098289,0.139947,0.11064,0.11471
heart.D52.N303.C5.num,w2v,50,4,0.2620018909499188,0.26540930408895985,0.26540930408895985,0.2536136399104753,0.25361363991047525,0.25138923787573036,0.2657489297700542,0.2790786468650589,0.2620018909499188,0.29213434219250767,0.2657489297700542,0.26142211673372046,0.2620018909499188,0.2620018909499188,0.29174252592959976,0.26365302233977145,0.25138923787573036,0.29025637252055153,0.2620018909499189,0.27647772965634293,0.2513892378757304,0.2895537776970752,0.26632851379656686,0.2620018909499188,0.2620018909499188,0.2825858812707843,0.26142211673372034,0.26632851379656686,0.2840982589075013,0.2620018909499189,0.004974,0.003085,0.003247,0.002788,0.003212,0.002804,0.00342,0.003641,0.005168,0.002979,0.003441,0.002784,0.005834,0.004284,0.003837,0.002574,0.004478,0.005221,0.004505,0.002972,0.005001,0.002334,0.002629,0.004457,0.004605,0.004509,0.002772,0.004086,0.00262,0.006285
ionosphere.D157.N351.C2.num,w2v,50,4,0.3035368736994991,0.3035368736994991,0.30414583455571825,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.30414583455571825,0.30414583455571825,0.21758317935747154,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.30414583455571825,0.2175831793574715,0.3035368736994991,0.30414583455571825,0.3035368736994991,0.30414583455571825,0.3035368736994991,0.30414583455571825,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.010247,0.003893,0.00342,0.002372,0.004623,0.003263,0.003517,0.002364,0.002832,0.004095,0.003684,0.003038,0.003027,0.002582,0.002579,0.00238,0.003903,0.003903,0.002888,0.002806,0.002596,0.002406,0.004205,0.003024,0.002361,0.003442,0.00347,0.002808,0.002794,0.00235
iris.D19.N150.C3.num,w2v,50,4,0.750707682008055,0.751102548660961,0.751102548660961,0.7915999842030734,0.7915999842030735,0.751102548660961,0.7511025486609609,0.750707682008055,0.751102548660961,0.7857809083850721,0.751102548660961,0.751102548660961,0.8158065056174016,0.7798095734870608,0.7333550991005616,0.7915999842030734,0.7507076820080549,0.751102548660961,0.7333550991005617,0.750707682008055,0.7799978971616953,0.7799978971616952,0.7855906376512715,0.7796403321581349,0.750707682008055,0.750707682008055,0.7796403321581351,0.751102548660961,0.751102548660961,0.751102548660961,0.0175,0.001695,0.001687,0.002068,0.001887,0.001889,0.001685,0.002454,0.002152,0.001908,0.001885,0.002066,0.001683,0.002075,0.002278,0.001887,0.002569,0.001687,0.001875,0.001885,0.001877,0.001686,0.001877,0.002101,0.002267,0.002068,0.002072,0.001875,0.001699,0.001883
led7.D24.N3200.C10.num,w2v,50,4,0.3980645100518642,0.3448851233722054,0.3911598168122686,0.35882535870450216,0.3911598168122684,0.366248398378554,0.3967322899928328,0.3740734254971449,0.39673228999283283,0.3471279144496947,0.4053697557536198,0.4023709652346198,0.3798145501861275,0.3911598168122685,0.34623092021096596,0.3911598168122686,0.39339097438741444,0.38403672722064713,0.39879417854512467,0.3584596888708425,0.37946362322964816,0.38724953943962603,0.3634024012821421,0.38403672722064724,0.36279283697090386,0.384207491829029,0.3840367272206472,0.3663521884377637,0.4048880818774482,0.4173657814247648,0.005386,0.005044,0.005738,0.00649,0.006422,0.006886,0.008052,0.006136,0.005747,0.004519,0.005646,0.006189,0.005973,0.005676,0.006131,0.006573,0.005433,0.005416,0.006188,0.006056,0.005411,0.005767,0.00544,0.006117,0.005029,0.005786,0.006164,0.005759,0.00579,0.004998
letRecog.D106.N20000.C26.num,w2v,50,4,0.020924546398929718,0.020924546398929718,0.07849307288437421,0.020936377843540566,0.020936377843540566,0.02145712621450267,0.06665983916244443,0.0665809140853691,0.06673180699816228,0.06656283769156673,0.05987133965795052,0.06673180699816228,0.07824815717403623,0.06650560228530644,0.06673180699816228,0.06684816561697166,0.06672757474973791,0.06664115164126744,0.05934743813955915,0.06673180699816228,0.0667318069981623,0.02093637784354057,0.06665983916244443,0.0665308814005046,0.020936377843540566,0.06673180699816228,0.06673180699816228,0.02141302440034537,0.05992915915622833,0.020924546398929714,0.03804,0.04497,0.040117,0.029733,0.034133,0.024323,0.030308,0.030323,0.035489,0.030588,0.042023,0.036868,0.035426,0.031127,0.037048,0.027862,0.033609,0.02536,0.035779,0.034965,0.064533,0.026899,0.029382,0.034891,0.03073,0.034236,0.033664,0.028212,0.033426,0.043281
