dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
adult.D97.N48842.C2.num,tk,0,8,0.10049727430264231,0.10483685418752707,0.09674629778031144,0.1126685255695572,0.09241823861633043,0.11589829971481716,0.12110862236820553,0.1053784461567352,0.11488771331486346,0.0972004801876141,0.10901274027829148,0.11254300709008964,0.09372944773172767,0.11634785811990042,0.12045510711965933,0.11651253791655361,0.11602782170286483,0.11089780978778974,0.11325566205501106,0.10243709785154333,0.10470260372979098,0.11084880323974904,0.11613659015964597,0.11112734802378597,0.11206650174707804,0.10107327774687477,0.10589708009126284,0.11135976318468237,0.11547839429278577,0.1025125035867973,4.443484,6.985047,5.281864,4.515639,3.535406,5.390576,3.494086,4.423314,4.424136,1.798491,4.509586,4.4973,4.386585,2.69682,3.595275,3.487184,5.2807,5.34279,6.236327,4.413347,3.533597,3.575778,2.683332,3.58952,2.716836,2.690821,3.526435,4.403843,4.45267,4.410054
anneal.D73.N898.C6.num,tk,0,8,0.259769464601298,0.20575728532420495,0.29369604183945797,0.1915909897747041,0.16483029095400667,0.17062318207867674,0.19267254309722656,0.2290107162814248,0.27336332834916727,0.2035695825070032,0.24104171319818385,0.13080252916076138,0.2546706799555781,0.16051347661557114,0.30068261421429693,0.29814403104272674,0.15278049284180953,0.14825433904608498,0.22882283255402622,0.1398948429654621,0.2676561866064233,0.12221749225092939,0.13317469563189552,0.25828545744410647,0.24382510277457656,0.2481383799559662,0.13725590900419254,0.20495704755764174,0.17637183778155702,0.15847907406860848,0.05248,0.051295,0.039271,0.052083,0.052865,0.050562,0.063896,0.129267,0.06535,0.050103,0.064252,0.025729,0.051082,0.116038,0.039173,0.076353,0.065366,0.038635,0.052574,0.064668,0.101618,0.051309,0.052365,0.06397,0.077455,0.051661,0.051423,0.075123,0.06707,0.077325
breast.D20.N699.C2.num,tk,0,8,0.3847150835003857,0.3399124940749727,0.3954726779365024,0.4294273851866184,0.42283839686920566,0.345089463897254,0.4703539766137782,0.37457165568214174,0.3929695568352434,0.44010428830594656,0.4081048985890373,0.3372567816239721,0.4000371784189384,0.41826953543054546,0.4158149487329056,0.42952971576410737,0.3803669459402363,0.44460451788845695,0.44460451788845695,0.4064915560099616,0.4582785280383811,0.42188926754328415,0.3573957281528055,0.3907230219091081,0.3965851620802927,0.5087690678354169,0.391633574163806,0.44369026275851425,0.416123874532872,0.36280297667478095,0.014337,0.013971,0.021024,0.013871,0.035177,0.013783,0.014549,0.027907,0.021527,0.021338,0.049236,0.034371,0.014362,0.027852,0.021056,0.014276,0.01408,0.014341,0.014456,0.014181,0.014584,0.013993,0.013914,0.021005,0.02759,0.028371,0.021275,0.014297,0.0213,0.027556
chessKRvK.D58.N28056.C18.num,tk,0,8,0.04773633642386854,0.05800741589030327,0.06454063923166051,0.050918222687963324,0.046697685427167936,0.03080416742009506,0.0476103061528929,0.051705071651096966,0.05047927109439844,0.07662629139010468,0.06963544383743286,0.06191406411327766,0.047104125544041406,0.028016912039753854,0.05309766657285229,0.07429422572640527,0.05640467916378126,0.02971682579769141,0.04617117790764481,0.07201497555819376,0.06108467503690067,0.07149361078333097,0.06129276185134129,0.06527086393994527,0.042910299347071135,0.043772623450685076,0.04743644935496127,0.06350350031262661,0.05164642967620121,0.050811622679232955,1.032621,1.587382,1.659877,1.074601,0.933581,0.691451,1.077281,0.711599,0.850586,0.777545,1.037911,1.02022,1.640108,1.03926,1.047291,1.322976,0.711324,1.06489,1.088771,1.175006,1.003605,1.038737,1.479001,1.074997,0.685274,1.032355,1.0379,0.6847,1.372641,1.053783
connect4.D129.N67557.C3.num,tk,0,8,0.004424378967684261,0.004349522351723025,0.0037149923755701642,0.0016173100665597315,0.010073563898269541,0.008761364507962006,0.007362050523417986,0.0028661641250963123,0.006301339392274321,0.004231135737427757,0.00403193955118184,0.010324815825565135,0.005488830251565788,0.00857549228632765,0.008349452501777417,0.0051750240601836795,0.0052826946760745775,0.004524186543534196,0.0059463209997929,0.004485144694478901,0.007708688109868254,0.005072141947812876,0.006855804717555047,0.009229996736199233,0.012219565915582995,0.0061227476910804945,0.006493361606091782,0.0066250334486408205,0.005662357686433769,0.017694723877913966,11.772913,7.059117,9.674859,12.058845,7.532399,9.971879,7.405493,9.844483,9.557088,9.177787,9.240886,12.206033,10.16436,11.825025,9.612132,7.008204,11.783821,11.63583,6.837741,9.054741,9.073079,9.035553,11.3307,9.214534,9.096464,11.32049,11.417291,6.790185,11.353642,16.271652
heart.D52.N303.C5.num,tk,0,8,0.17632943924247865,0.20301343491554777,0.16926472403262544,0.19301756332775438,0.18639200619088966,0.17642525530527658,0.18329721020945408,0.1740328604501738,0.16392182460099944,0.20787341051487387,0.17332382872887078,0.1628835280901212,0.17501025588252067,0.13416542021003594,0.17658463249683853,0.1913617894717223,0.17296459292335178,0.19136085790608406,0.19245434831967237,0.1852822983695269,0.1707180033394411,0.18492505875971607,0.16655163862219136,0.1916282812865298,0.18439868024101214,0.19132254019457479,0.19441220568812936,0.18744372321856942,0.2035817955674685,0.2156720943953749,0.022142,0.017322,0.017283,0.01746,0.017778,0.021824,0.017018,0.0172,0.034863,0.021453,0.042502,0.017373,0.021428,0.025853,0.021504,0.025689,0.026389,0.01724,0.022038,0.034843,0.030111,0.030035,0.017234,0.013012,0.043679,0.021612,0.01803,0.03533,0.03525,0.023475
ionosphere.D157.N351.C2.num,tk,0,8,0.25220317097833655,0.26747760808375937,0.2540634816904272,0.23622781326381365,0.2647990301501173,0.2617760439512263,0.2521812157840099,0.2540000074067455,0.24002374761422524,0.26183400406080004,0.25319758788815055,0.24819982139366978,0.2623820559289192,0.2845925842642791,0.25021525325385335,0.24534684373178525,0.26292053880740535,0.2604769595390396,0.26310676191391663,0.25410729698459894,0.2537246571266741,0.2847095352457729,0.2648888639388829,0.2713208871636378,0.28497853882770474,0.2488298513916846,0.201717766848946,0.262616952272517,0.24378009020158284,0.2605909183805934,0.044206,0.07935,0.043256,0.06194,0.05411,0.108379,0.132411,0.121691,0.060264,0.095346,0.07168,0.129369,0.083155,0.096018,0.083116,0.108157,0.085771,0.073128,0.053598,0.052288,0.079028,0.061696,0.06992,0.062033,0.074545,0.091987,0.044668,0.052532,0.054178,0.09552
iris.D19.N150.C3.num,tk,0,8,0.6710601938796008,0.6658364904955535,0.6607380291818085,0.6697053058533401,0.6886896345472091,0.6745204763984489,0.6676519529421487,0.6786413767707411,0.6786449196826261,0.6632460457829098,0.6492778866802918,0.6330136593453247,0.6398484330587506,0.6478323182928656,0.6788822023082867,0.7143052197278936,0.7115960199766124,0.6961041492531506,0.647690229400718,0.6735900977828229,0.6738399037765566,0.7299245818786402,0.7214771183938825,0.6464384140421033,0.6350048846984545,0.6291195977697671,0.6296890313540074,0.6948488035872755,0.7198288389715719,0.6496866786854466,0.002815,0.004144,0.002745,0.002858,0.004078,0.00411,0.004048,0.004146,0.002801,0.005361,0.005542,0.005397,0.00405,0.005389,0.002684,0.005403,0.004113,0.006609,0.004112,0.004064,0.006768,0.008052,0.002749,0.00276,0.004089,0.005398,0.006755,0.005476,0.00406,0.005203
led7.D24.N3200.C10.num,tk,0,8,0.4482283274264417,0.5190986487017907,0.4438881746895108,0.5008283036352342,0.4129128667608882,0.4706719623241785,0.5431617293636167,0.44934674619655723,0.4294981868073541,0.5465583025958867,0.4173381745162397,0.4662871618856066,0.4538605822804636,0.4919916079019117,0.5178089632471977,0.46749842276975856,0.5082065362710588,0.4748297310086665,0.4739969318102273,0.47097654391786276,0.5030877701800429,0.548595735285629,0.4948938673116476,0.478600073239276,0.5567863639779376,0.5591749665059816,0.4446188186005385,0.5328115252787917,0.5416820857234202,0.49513885818503767,0.101891,0.148447,0.100674,0.155752,0.104253,0.119011,0.066828,0.221149,0.150949,0.099215,0.112258,0.099783,0.152425,0.146088,0.098927,0.116884,0.099833,0.181687,0.116201,0.166463,0.146801,0.115238,0.065979,0.066717,0.114197,0.098714,0.081707,0.099999,0.080054,0.13279
letRecog.D106.N20000.C26.num,tk,0,8,0.09028790143576244,0.08141525511306215,0.07943385676966143,0.08689138959291588,0.12084944642802166,0.10739047284021051,0.12553839267590677,0.10710910921368827,0.0799255059276083,0.08723190177097741,0.09036192082792008,0.11500338974600842,0.0983546734113144,0.09199519315925084,0.09427028267147038,0.1269710493708041,0.10272091278191382,0.1131065744036046,0.07279898925223642,0.10467323937278274,0.16000136628852202,0.09776299733419858,0.13104523892267048,0.10102425020638167,0.10200417936950917,0.0882818528603163,0.1257380210643147,0.09054595922737275,0.13478437625379636,0.14224975493438582,2.40399,1.933037,2.017397,3.142747,1.927242,2.347436,1.918002,1.51076,2.30812,2.764629,2.363689,1.911524,2.725721,1.538275,1.618645,1.564263,3.548185,3.129424,1.560625,2.379044,1.554045,1.942158,2.695059,2.382998,1.514636,1.565831,2.344486,2.351428,2.14655,3.059885
mushroom.D90.N8124.C2.num,tk,0,8,0.32694990830231274,0.3182349828366986,0.42307869578028817,0.358988550257339,0.41033827513340904,0.34429166457404503,0.31166904646998017,0.3367082402631875,0.37393337741564736,0.3498396985236434,0.43948460635910513,0.3125148622830763,0.4634348955598424,0.3326788815224604,0.32333492452531315,0.3302585441288502,0.3215566116025522,0.3197213297549025,0.3404654012538267,0.3336413023557408,0.421882628867982,0.3974639333780389,0.3323289861654732,0.36004284432537625,0.33293898500148356,0.3196300558313067,0.3418930981775213,0.33519403708405743,0.3267550285983378,0.37168958248560385,0.646136,1.132645,1.197366,1.068487,0.791868,0.890074,0.672499,0.795018,1.69508,1.547328,1.069835,1.103041,0.940644,0.621479,0.953047,0.954982,0.854465,1.092051,0.953808,1.382609,0.884163,0.615685,1.472796,1.054262,1.046189,0.825025,0.790682,0.974941,1.708125,0.815872
nursery.D32.N12960.C5.num,tk,0,8,0.015447324745524816,0.0733729775422852,0.07253965402151512,0.05875611596815702,0.07537335594506243,0.05449351506422472,0.08466667878355882,0.11137342632753004,0.09444989952946674,0.0728686888451998,0.08444615485253278,0.08145360709471765,0.05328950188896208,0.09675054818644371,0.07413193898297069,0.08588718540158323,0.07585739262611123,0.07959100781561979,0.0739954575363502,0.10691322743422559,0.09035193909793453,0.06634397886242582,0.11191202185150072,0.07178315470742559,0.0870503341220431,0.06127259151361551,0.09243050290832658,0.05351439332775607,0.07702638033191647,0.08764959955758066,0.544961,0.779912,0.479346,1.167755,0.450977,0.371261,0.725573,0.532287,0.353769,0.532564,0.684103,0.732628,0.533359,0.365145,0.612468,0.904897,0.691202,0.628249,0.52771,0.342935,0.603171,0.957142,0.977404,0.534566,0.52441,0.529185,0.63994,0.350654,0.702026,0.384131
