dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30,K_01,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30
adult.D97.N48842.C2.num,TX,0,0,0.11275171123239706,0.10798645161024568,0.1259550407687405,0.13355161266700263,0.12328725170485462,0.1321270541397731,0.1062153196271998,0.10736032597705523,0.12134026082289937,0.08972891924216188,0.10518899461269905,0.10726015882932143,0.09558080433214894,0.13975258633808887,0.129990539934812,0.08572721616939667,0.10497183167890915,0.09052483841027856,0.14085688342593827,0.1012060643786303,0.11934183592569875,0.12945736167628857,0.11129657745330124,0.11056522991845016,0.09541179947177122,0.09914062736812562,0.11054234017624699,0.09743904979623613,0.13300539457145685,0.10830797765296264,0.221662,0.268086,0.26106,0.230874,0.301072,0.199678,0.248817,0.369572,0.233592,0.262576,0.233654,0.289638,0.338117,0.190816,0.210309,0.234049,0.302092,0.292833,0.202641,0.244181,0.243274,0.197358,0.243446,0.281285,0.271629,0.278364,0.21896,0.233815,0.206693,0.303159,4,5,5,4,5,3,4,7,4,5,4,5,7,3,3,4,5,5,3,3,4,3,4,5,5,5,4,4,3,6
anneal.D73.N898.C6.num,TX,0,0,0.014251593765523613,0.13282153537198396,0.06821916183480813,0.06859003018618454,0.039579856413583504,0.11927338113034852,0.06592584784379757,0.10095941264560639,0.2346087071648078,0.08024922020367617,0.08006610997167328,0.2323616894740128,0.07886899143333813,0.10090978082407742,0.09444700455007694,0.1547143545812373,0.08616810098254565,0.009966400045037559,0.085569377102845,0.14132171280611636,0.16953004383633682,0.26865637125397074,0.12133949843693222,0.27086330727543223,0.17723973957545,0.06921910818027117,0.1278302447351219,0.0716628741290166,0.08503995697466582,0.11431234902961437,0.028925,0.044285,0.03441,0.029,0.033231,0.051197,0.036601,0.048308,0.048588,0.057083,0.048905,0.047491,0.043841,0.048044,0.051073,0.050284,0.046895,0.035804,0.044296,0.041018,0.055039,0.058163,0.056804,0.052794,0.043264,0.051112,0.051833,0.047469,0.046441,0.043258,2,3,5,3,2,5,3,3,3,4,4,6,3,3,4,5,4,2,4,3,6,4,5,7,5,3,5,3,3,3
breast.D20.N699.C2.num,TX,0,0,0.3697809710729928,0.3780474264282954,0.427808893113807,0.45732708746271594,0.4214794000340843,0.32278044417211377,0.34786295137947415,0.5128429452249573,0.38818878177415317,0.41943771158160886,0.3287979265324972,0.3991718402792445,0.3744958567273423,0.4449709237379546,0.3352105740267499,0.4518463831979351,0.4245818043520256,0.36452238530399217,0.46456572453297373,0.345431276290131,0.3673693796132912,0.462341641333096,0.3710322526678258,0.4443840440562106,0.3607017390518003,0.4345712626425004,0.3900123971313614,0.4258077674383133,0.48600787195055417,0.33907044997033625,0.024486,0.024386,0.020347,0.022533,0.023699,0.021729,0.027987,0.020854,0.023926,0.022909,0.028214,0.024352,0.023151,0.02496,0.021887,0.021948,0.02291,0.026428,0.021538,0.028398,0.023651,0.024152,0.023209,0.02267,0.027951,0.025189,0.019392,0.024359,0.021668,0.024671,6,4,3,4,5,6,6,4,5,4,7,4,4,4,5,4,4,6,4,8,6,4,4,4,7,6,3,5,5,6
chessKRvK.D58.N28056.C18.num,TX,0,0,0.06564683147086402,0.04180436703373647,0.0677801135285196,0.05083998095345207,0.05979257212683735,0.0432977560274906,0.06422920847202603,0.0631909205851554,0.058278690074122945,0.04412654913715409,0.04060991190043715,0.05008967288004312,0.04212102233854044,0.058917074789715466,0.029810316119928664,0.05434148641509924,0.0334072699302323,0.04914227494866645,0.0489762645666213,0.047170751505944984,0.07661740383774882,0.0506463800948115,0.06532501094487383,0.05961516690303164,0.05986160254117178,0.05044578215238818,0.04274264302713649,0.05840948231817081,0.061527714182441,0.061515093393249065,0.433587,0.279399,0.283169,0.363753,0.279831,0.254789,0.185559,0.241407,0.235858,0.201062,0.327948,0.489813,0.192383,0.522678,0.208684,0.47702,0.248289,0.457005,0.22981,0.271411,0.242582,0.280941,0.449104,0.466452,0.310376,0.328552,0.195977,0.459889,0.26695,0.248859,21,13,13,18,12,11,7,10,9,8,16,25,7,26,8,24,11,23,10,12,10,12,22,23,13,14,7,23,12,10
connect4.D129.N67557.C3.num,TX,0,0,0.00022574873504037867,0.0013181943872588972,0.002650891434714242,4.853267390235329e-05,0.013414396829877356,0.0003437908283397739,0.0010773220480246775,0.00015729867037482317,0.0013666291343154022,0.002781695013367044,0.00047574219433046125,1.1753500559595761e-05,0.0035010262652810263,0.001018259553892082,0.0029865006079428163,0.003292537598106402,8.700855952969449e-05,0.0001376425968756343,0.003589436770927703,0.004087449140467486,0.002311559813032588,0.0019053925016559072,7.479082158386142e-05,0.0027432254168109835,0.008566442089893706,0.0038334725059743706,0.0005349345343623202,0.0019301571960154563,0.0004122728588304427,0.001299445310349969,0.249923,0.379079,0.242608,0.249588,0.30397,0.242072,0.35096,0.293779,0.286367,0.238066,0.238376,0.258307,0.342495,0.300797,0.313209,0.268812,0.236424,0.260099,0.367385,0.291028,0.2759,0.314725,0.298705,0.305712,0.33875,0.333376,0.282077,0.340663,0.247547,0.312692,2,4,2,2,3,2,3,2,2,2,2,2,3,2,3,2,2,2,4,2,2,3,2,2,3,3,2,3,2,3
heart.D52.N303.C5.num,TX,0,0,0.16788818447751375,0.236979063095119,0.15900495672095002,0.08802245788271301,0.1762924401995109,0.18119495225178148,0.18888255421076314,0.16397307039544992,0.15292155415509157,0.18365993271113984,0.2096533289933425,0.23154625035351029,0.1880779912352276,0.20329744105780503,0.16028894462359525,0.20284716201094627,0.17109969296236713,0.18975442465584996,0.2098792691530137,0.19120990360615203,0.19494059814219367,0.17903561610801103,0.18408819400946863,0.18237012479405068,0.1999798934019302,0.20443784724394923,0.21348104398003231,0.16751712473612732,0.173621684017825,0.19335419871077436,0.036161,0.018824,0.026919,0.021793,0.033141,0.026224,0.030752,0.030984,0.029619,0.027212,0.023775,0.026518,0.025925,0.022636,0.03769,0.022848,0.032717,0.029974,0.043413,0.025973,0.016125,0.035232,0.024157,0.034988,0.032761,0.023671,0.024546,0.031008,0.053931,0.031889,5,3,4,3,4,5,5,5,3,4,3,5,3,3,5,3,4,5,5,4,2,4,4,6,4,3,3,4,8,6
ionosphere.D157.N351.C2.num,TX,0,0,0.2510914438061848,0.24266242959044526,0.3753384763929806,0.29329553101687467,0.26784708715979144,0.2538179642728093,0.2526463561202476,0.2812822345261321,0.2747652838338064,0.31611984833835033,0.2576682769790559,0.27315215744419175,0.2747860108770461,0.39181654141986055,0.2392970296342819,0.23927168231190904,0.2639723160433925,0.26106317172623245,0.2596680008231242,0.26357455943327074,0.2812389822057628,0.2946102794878711,0.23833040167760663,0.24582166546936812,0.23800627896510743,0.2304234912269886,0.24028666088374842,0.2684989710629006,0.2638830280809389,0.20940798471499486,0.106979,0.140292,0.078204,0.123679,0.090172,0.10745,0.098249,0.096772,0.136182,0.082345,0.096328,0.111586,0.084243,0.075549,0.156878,0.108526,0.125457,0.197148,0.114728,0.132101,0.115863,0.092037,0.110498,0.094377,0.105152,0.089253,0.147399,0.10639,0.096421,0.128124,10,12,7,8,8,11,11,8,8,6,7,14,8,6,13,11,13,8,9,9,7,7,9,11,11,8,8,8,10,14
iris.D19.N150.C3.num,TX,0,0,0.5409924487092747,0.6645699691573954,0.6715307812950699,0.5734949593792984,0.6657378960174819,0.7076143002845672,0.591765192266016,0.7245859137413209,0.6699064949741906,0.7241726420125669,0.7446446811314495,0.6898413977867625,0.5844255021429408,0.5210574137195155,0.6227648495327999,0.6853098169880322,0.6657378960174819,0.4915384752286971,0.6366791688940571,0.6646474786547004,0.6178721996038159,0.7478268499773261,0.5253178284757272,0.7472766658073229,0.7274864157047778,0.7272968936107939,0.735920537449401,0.7202897479091351,0.5365385502640868,0.6922778726457066,0.010243,0.010606,0.009681,0.014044,0.009001,0.010135,0.010987,0.010694,0.010055,0.009233,0.00937,0.009801,0.011497,0.01092,0.011307,0.009642,0.009827,0.01299,0.010736,0.011002,0.010796,0.011433,0.012607,0.010227,0.009219,0.010064,0.010501,0.01086,0.012868,0.009013,8,5,4,10,4,6,8,4,5,4,4,5,7,7,5,4,4,9,5,5,6,4,9,4,4,4,4,5,8,4
led7.D24.N3200.C10.num,TX,0,0,0.35364056870850286,0.3916896580621731,0.30099422552505056,0.47081507405518824,0.4424171816720602,0.4500872784584576,0.41579119112357854,0.4441433079467742,0.33349532877631305,0.3342442571814955,0.4078630493770611,0.47031689669886534,0.349760807324774,0.4239958704485737,0.4464923509696717,0.4391669717756208,0.440405404058892,0.4144263307894706,0.4384477628518132,0.4641120403488226,0.40820806822766825,0.3661487573878372,0.47308175271426206,0.40254055750164197,0.3450214322271568,0.4400719512659207,0.39638475816381713,0.4450091473037685,0.40488831388711943,0.46100103005163107,0.056823,0.057795,0.055639,0.05956,0.065496,0.064738,0.066753,0.056621,0.055471,0.056335,0.064879,0.055732,0.043153,0.056821,0.054717,0.065461,0.051646,0.058559,0.065987,0.063052,0.051104,0.060881,0.060945,0.052589,0.050346,0.058467,0.048602,0.066816,0.061127,0.065961,7,8,6,6,8,8,6,7,7,7,9,6,5,7,7,6,5,7,9,6,5,6,8,6,5,6,7,7,8,7
letRecog.D106.N20000.C26.num,TX,0,0,0.07314119604396264,0.09465643695697024,0.043498946599805924,0.11670656822021876,0.12925629255408796,0.14319736359885316,0.18894445695772613,0.11398484161028413,0.09870921285234123,0.12791336738225495,0.05822887690104199,0.13762999327390754,0.0653611777250702,0.14522288910963366,0.07012300364016538,0.12206754903004635,0.12852665280302766,0.11792007717085205,0.05541701632415586,0.10697219546912988,0.14384466001735952,0.07179585133409469,0.11722928336235179,0.10682267967293126,0.11181281826878328,0.10195641314174649,0.14194302642453646,0.10359291455733126,0.09904453671109319,0.09480097714582669,0.187508,0.200898,0.161196,0.29379,0.312915,0.298566,0.277646,0.275663,0.225447,0.286597,0.18667,0.324805,0.212733,0.267131,0.231588,0.244194,0.25215,0.273494,0.234013,0.295918,0.360888,0.253158,0.292394,0.231648,0.17123,0.18839,0.26595,0.223094,0.242717,0.226358,5,7,5,9,13,11,12,6,7,10,6,11,6,11,7,8,9,10,5,11,15,8,11,7,6,7,8,7,7,7
