dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
T100k.D2k.L50.P0.O0.C6.data,Glove,200,8,0.9332012851532313,0.9431872420293551,0.9351135816524054,0.933293074187512,0.9331871233725552,0.9332217682049527,0.9358514463428856,0.937770838152641,0.9368291437090924,0.938752260010139,0.9413093961390236,0.9413637665719099,0.9376335854657386,0.9458971795266353,0.9386229008755436,0.9386265969669487,0.9521035407475347,0.9386264901362537,0.9433137045354414,0.9331842770172325,0.9431849635765606,0.9413099094252678,0.9331602552761676,0.9333170004999369,0.9413925156899677,0.9386265969669487,0.9376362459965634,0.9413088967288148,0.9333151004234818,0.9448626783722566,0.452809,0.545411,0.509318,0.967629,0.45576,0.400403,0.527443,0.528345,0.383683,0.928936,0.562904,0.58016,0.568081,0.518859,0.43897,0.4696,0.421581,0.451911,0.761528,0.45704,0.488099,0.486643,0.492124,0.687932,0.585831,0.430738,0.572642,0.500885,0.751001,0.506485
T100k.D2k.L50.P0.O10.C6.data,Glove,200,8,0.9358088255271689,0.92807399913279,0.9381402790138621,0.9378825193081247,0.9280679883092311,0.9341122251371008,0.9429982969153297,0.9301078033275847,0.9317836407486936,0.9460521555819463,0.9317905331794394,0.9317839028691396,0.9301068455080013,0.9280607914478505,0.9280697877358612,0.940741721038072,0.9317977226750385,0.928066316210889,0.9341079750936084,0.9280655053988867,0.9301069095497435,0.9470939686446733,0.9341173636435517,0.9407963748528677,0.9280609150548628,0.9407963748528676,0.9317906040983674,0.9460521555819463,0.9301050203631317,0.947103455719987,0.542037,0.571137,1.057543,0.542844,0.734481,0.690711,0.5097,0.555279,0.917689,0.856872,0.571992,0.557468,0.635626,0.897294,0.538482,0.409978,0.448406,0.636488,0.531868,0.493493,0.777419,0.709996,0.590003,0.656851,0.573893,0.589214,0.58204,0.806457,0.679239,0.702581
T100k.D2k.L50.P0.O20.C6.data,Glove,200,8,0.9362921302584352,0.9287714725645938,0.9316389693970305,0.9346041848323576,0.9417531423211972,0.9346032760361149,0.9358672430684583,0.9375607631300868,0.9375713044919387,0.9358660254606231,0.9316499197871626,0.9417002438295973,0.9362923685446174,0.9362911864955882,0.9303912235695416,0.9375077915126717,0.9346038381444393,0.9416977873629716,0.9417531844453677,0.9316498678101944,0.9287737134579372,0.9375122513838107,0.9287693735715107,0.9358782769739525,0.9375097412511714,0.9490516573608326,0.9358672658243615,0.9437375052114515,0.9346032882516506,0.93164927787483,0.64626,0.564229,1.402215,0.845014,0.471044,0.649238,0.751592,0.791652,0.635933,0.581991,1.193925,0.591622,0.416513,0.643432,0.869522,1.012668,0.600597,0.74159,0.610496,0.70249,0.869769,0.578064,0.538493,0.844377,0.754155,0.520195,0.938012,0.430881,0.530681,0.969612
T100k.D2k.L50.P0.O30.C6.data,Glove,200,8,0.9291884973609635,0.9452722985736153,0.9331326448823206,0.928250080261616,0.9331343416033347,0.9353213188276887,0.9291889046695176,0.9452647769172894,0.9291899886880742,0.9488456015036776,0.9409103089849555,0.9331333537035281,0.9373375671681574,0.9373392768283006,0.9353222603420759,0.9282460606528371,0.9452861205070698,0.928248398259921,0.9291898542450053,0.9292015437784589,0.9291908743610765,0.9331366787088875,0.9282458274129628,0.9452722985736153,0.9331342115729884,0.9452719413641834,0.9452722985736153,0.9409047744204811,0.9282457885431518,0.9410990764165869,0.406269,0.50406,0.503885,0.534512,0.577851,0.58919,0.463006,0.417894,0.395448,0.780661,0.434573,0.553063,0.495537,0.439329,0.578153,0.423459,0.623382,0.641291,0.5501,0.505122,0.42639,0.500692,0.426542,0.471662,0.529606,0.372711,0.776825,0.406374,0.393101,0.783963
T100k.D2k.L50.P10.O0.C6.data,Glove,200,8,0.9384723119433064,0.9319187388045385,0.9325231069372321,0.9331819803082549,0.9282516513577782,0.9375222173163221,0.9328616774957468,0.9334726895006261,0.9375288532537007,0.9282481548258557,0.9427579255757282,0.928261544824027,0.9338009641802977,0.9282671373007768,0.9319125051612178,0.928254810231766,0.9428030875450609,0.9427502810844366,0.9375198864270141,0.9338087045961228,0.9417713680575611,0.937195429011839,0.9451191415325203,0.933471780886261,0.9328696509471361,0.9282700197328575,0.9328515821673349,0.928255688588796,0.9282618657469566,0.9328572432966146,0.819171,0.852517,0.620208,0.542626,0.795891,0.596848,0.515664,0.81896,0.70059,1.03767,0.51386,1.048584,0.705518,0.704541,0.655897,0.684526,0.449462,0.522304,0.678906,0.638994,0.491134,0.740316,0.772541,0.929215,0.769261,0.574148,0.656013,0.46732,0.657251,0.531662
T100k.D2k.L50.P10.O10.C6.data,Glove,200,8,0.934436144798233,0.931645464780944,0.9417315040371504,0.9316473650163748,0.9417294410612723,0.9422609611348817,0.931641900547565,0.9293208378235879,0.9494626041347041,0.9315997202296767,0.9422462953027908,0.9494501827013604,0.9369474600639681,0.933371157571433,0.9434937010895164,0.9293208378235879,0.9293254320669848,0.9293252680188275,0.9369492937583975,0.9435407867488999,0.9316511345359794,0.9369502698781063,0.9411619944333751,0.9394088581963462,0.9435427326820389,0.929325314800416,0.9333713424281964,0.9316391959449702,0.9316402805679072,0.9394070426312542,0.672258,0.457751,0.799515,0.699292,0.629084,0.534731,0.741069,0.584095,0.427605,0.465216,0.675346,0.69351,0.497002,0.543815,0.505453,0.908729,0.67133,0.656471,0.492865,0.520776,0.417446,0.491686,0.610724,0.616392,0.651186,0.654658,0.603468,0.990107,0.754334,0.56726
T100k.D2k.L50.P10.O20.C6.data,Glove,200,8,0.9445069851940885,0.937328665275542,0.9429565627362022,0.9401268195701958,0.9401232381972257,0.9391103518591137,0.9514509802423495,0.9350033140663949,0.943977782811498,0.9498919597736009,0.9362568586914093,0.9363277934740961,0.9363273975612736,0.9523953415127543,0.9363275431811523,0.9416159047309914,0.9363264819368834,0.9445088383601985,0.9385873301527576,0.9372687794891862,0.937260926423368,0.9373289994067606,0.9385850390294996,0.9372687794891862,0.9391107268438669,0.9362596395041318,0.9363220410287192,0.935008435627473,0.9478480934073985,0.9377844527299496,0.603272,0.712797,0.895358,0.510994,0.549437,0.745147,0.794879,0.958017,0.471517,0.562957,0.734772,0.626127,0.739335,0.423823,0.683383,0.473303,0.721615,0.474607,0.509609,0.578494,0.638539,0.57875,0.683149,0.654747,0.838989,0.749817,0.552322,1.126585,0.804892,0.593429
T100k.D2k.L50.P10.O30.C6.data,Glove,200,8,0.9322295442716135,0.9313069890944176,0.9313150358564352,0.9312164638642574,0.9454542523509458,0.9344437049784733,0.935366226124155,0.9313062245826788,0.9354659213893441,0.9322294512989753,0.9322291808291445,0.9353638480856121,0.9313153037094654,0.9322294512989753,0.9313148020360035,0.9344350316640452,0.9313149820678659,0.9312164936208664,0.950829395939799,0.9313184837053147,0.9353630940017986,0.9392784352251826,0.9344341375797941,0.9457866236917556,0.9344512377945569,0.9313147537348649,0.9403184759119039,0.9435128813466129,0.9344352739602668,0.9435096011255151,0.446773,0.437005,0.429789,0.578046,0.465991,0.635728,0.455576,0.634427,0.39818,0.603514,0.517703,0.648447,0.434039,0.67832,0.541373,0.418898,0.425359,0.583889,0.342477,0.363892,0.489931,0.483832,0.548895,0.477687,0.362634,0.380018,0.363889,0.373083,0.490968,0.472101
T100k.D2k.L50.P20.O0.C6.data,Glove,200,8,0.9254011100757704,0.9501761663069319,0.9371620332481164,0.9501784799293082,0.9374694829706144,0.9254008472296422,0.9340960346724492,0.9329153632897217,0.9374700249530354,0.9451820979399108,0.9325440011237839,0.9451825671837508,0.9329154973295691,0.9254006019677389,0.9340903679119579,0.9254012469129581,0.9460757157198563,0.9291999869428631,0.9325439815346724,0.9292073064265114,0.9325435451872339,0.929199877460337,0.9371620825363309,0.9340950878380172,0.9360222305477386,0.9413684365588392,0.9417466717660188,0.9374696171054385,0.9291994357172997,0.9325444971530346,0.426163,0.764393,0.544153,0.611218,0.475301,0.512879,0.519992,0.512583,0.405236,0.437894,0.468259,0.532197,0.458336,0.588952,0.475432,0.438128,0.430138,0.539481,0.578103,0.534553,0.454585,0.500697,0.50703,0.43916,0.630849,0.449044,0.474529,0.468367,0.420516,0.406107
T100k.D2k.L50.P20.O10.C6.data,Glove,200,8,0.9364064832716458,0.9457558796998671,0.9259527525597745,0.9332193516362904,0.9297413018978673,0.9364044310775465,0.9335972485376932,0.9520662969002948,0.9457767113123694,0.945772774882651,0.9297427801345397,0.9386872822470053,0.9438416272672286,0.9520746957938184,0.9297411220935092,0.9386891042620238,0.9336041219155614,0.9350362518082873,0.9319925346302635,0.9259463087699222,0.9319934928542019,0.9350362518082873,0.9332269774409286,0.9461602524064873,0.9297413018978674,0.9332259530554099,0.9465510852475683,0.9297417980942161,0.9319957181757319,0.9351691702018257,0.479773,0.423192,0.511902,0.671199,0.474311,0.452855,0.466066,0.583515,0.40853,0.524966,0.520819,0.476496,0.479678,0.367906,0.57139,0.381859,0.511698,0.822035,0.443971,0.449626,0.471707,0.591856,0.47449,0.582816,0.530542,0.6126,0.439298,0.504871,0.636211,0.38912
