dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
T100k.D2k.L50.P0.O0.C6.data,w2v,100,8,0.9377595576725716,0.9377627955978199,0.9375810699756506,0.9350418035360009,0.9431475712584821,0.9358029403047756,0.9350413928996757,0.9350429017686485,0.9332766346687029,0.9330913963262072,0.9413209598109135,0.9358005614282445,0.9433240061493968,0.9332763546150477,0.938582452771649,0.9433215043361058,0.9330925206167451,0.9367940282927159,0.9375794279046564,0.9459039155528788,0.9413309198596365,0.9350500403025421,0.945898482652412,0.9350415721480766,0.9480038280242266,0.936804700514596,0.9385763539656841,0.9377603555613935,0.9330988436182374,0.9330968971961843,0.239516,0.242031,0.246963,0.233395,0.235357,0.258507,0.233884,0.242915,0.238724,0.230317,0.226035,0.238812,0.246688,0.238607,0.238853,0.234588,0.265848,0.264239,0.235374,0.24423,0.276517,0.245972,0.248862,0.241715,0.313209,0.233881,0.239397,0.239023,0.234187,0.243752
T100k.D2k.L50.P0.O10.C6.data,w2v,100,8,0.9340854676976277,0.9435498610302374,0.942973040039143,0.9398462081641631,0.9408203223547121,0.9300820508070868,0.9358044910424135,0.9300819980754897,0.9358071002454621,0.9317881998026886,0.9280353219977603,0.9300808993785296,0.9408238661388794,0.9340858351526604,0.9340855228499773,0.9317868079592707,0.9512300603833902,0.9280373460924889,0.9340859691553897,0.9300827580918497,0.930081799216977,0.934086256157415,0.9280379192917539,0.9378842922384508,0.9460508554458478,0.9280360869616203,0.953523905550909,0.9468867822817564,0.9358053972180433,0.9408203223547121,0.254593,0.393469,0.240851,0.26321,0.506656,0.250395,0.269626,0.271034,0.255091,0.260134,0.260539,0.258968,0.38394,0.260762,0.261119,0.270267,0.252384,0.270749,0.255923,0.274819,0.260145,0.293579,0.251014,0.236543,0.240708,0.246318,0.319326,0.248744,0.262153,0.576773
T100k.D2k.L50.P0.O20.C6.data,w2v,100,8,0.928767317833017,0.9533574922093909,0.9418037162141024,0.9346123172906303,0.9447111900884855,0.934607903146103,0.9363000771890418,0.9287647321289199,0.9346067454178022,0.9375143239176045,0.9316313378242649,0.9358613020273118,0.930388672528174,0.9437965028445202,0.939209479345335,0.9316333068927766,0.9303871393710198,0.9418037162141024,0.9362968915211632,0.9375104480816366,0.9346109966200947,0.9363045624206976,0.9346145178753975,0.9375079226888372,0.9287659831930529,0.9316337533295473,0.9375111203925884,0.9287651362737914,0.9346072283711334,0.9417610735257602,0.267042,0.401338,0.680686,0.258443,0.261661,0.264108,0.257938,0.266949,0.268301,0.257049,0.26589,0.252819,0.264586,0.404697,0.263607,0.25836,0.263646,0.605013,0.287074,0.263826,0.266291,0.261933,0.261518,0.259484,0.28398,0.257619,0.260518,0.268736,0.258064,0.262519
T100k.D2k.L50.P0.O30.C6.data,w2v,100,8,0.9340860390305693,0.9270307848666753,0.9331290572603995,0.9331311492733503,0.9481635775600494,0.9411020847945746,0.9270308324110352,0.92919082724883,0.9291881224288855,0.9291908070040243,0.9420723707255427,0.9291880266761269,0.9270312146584216,0.9270347542590809,0.9420675798644912,0.9420714305369188,0.9348898621968942,0.9291910056649585,0.9398517041103124,0.9270312237263819,0.9291890975914056,0.9270300221152269,0.9410968169358558,0.9291879096582383,0.9270316464892319,0.9331262340241538,0.9270309472487971,0.9348933759149648,0.9270338037251409,0.9291913355376552,0.262046,0.261292,0.248398,0.255365,0.239792,0.245749,0.252857,0.249886,0.258529,0.252708,0.249868,0.252953,0.257862,0.243436,0.248357,0.255785,0.242814,0.254099,0.244065,0.251882,0.248677,0.260978,0.245498,0.253773,0.252964,0.251416,0.250862,0.250852,0.238586,0.250148
T100k.D2k.L50.P10.O0.C6.data,w2v,100,8,0.93716311080495,0.9319078485870153,0.9331879489087532,0.9337843073592716,0.9282527914188087,0.9417770987232591,0.9334617653857704,0.928254485455961,0.9337753793648659,0.9371630745894969,0.932874908887625,0.9282594814554325,0.9337760137088019,0.9371556646962663,0.9334646218366132,0.9319105611949724,0.9325100356556407,0.932873276070875,0.9337766313901709,0.9325113914533911,0.9282603983406507,0.9328644086987904,0.9374715261031676,0.928252137602261,0.9325026212501325,0.9331840852689031,0.9282508566406655,0.9374899038264337,0.9282521566184256,0.9325134078632533,0.255029,0.251594,0.267898,0.251384,0.25784,0.413003,0.252604,0.256878,0.243004,0.259193,0.248538,0.264187,0.249539,0.254702,0.253555,0.263664,0.275929,0.258077,0.248594,0.264472,0.253857,0.269227,0.272046,0.24031,0.249205,0.267352,0.263505,0.257825,0.268671,0.250429
T100k.D2k.L50.P10.O10.C6.data,w2v,100,8,0.9293274054394202,0.9393650682806226,0.9411632741619905,0.9446509799213791,0.9434950701790341,0.9411669671110202,0.9446603635571357,0.929326500668973,0.9411621225035808,0.9446541883042723,0.9344508013091385,0.9293280197917331,0.9316770603846849,0.9316636986350698,0.9417661196531625,0.9435732532248478,0.9293240871249875,0.9417669294297405,0.9494376876472289,0.9435745152668791,0.9293229026145603,0.9435690815896135,0.9369580709014198,0.9464179522771811,0.9561795565865239,0.9369435665598046,0.9393678886641146,0.9434966192498369,0.9293249483336719,0.9316050305999536,0.259453,0.248782,0.24486,0.242001,0.2468,0.249985,0.242671,0.248051,0.241295,0.243305,0.243768,0.243191,0.262093,0.252428,0.249939,0.258376,0.244004,0.233985,0.258607,0.245281,0.284347,0.248831,0.324338,0.249981,0.288614,0.453251,0.241646,0.235756,0.222468,0.230038
T100k.D2k.L50.P10.O20.C6.data,w2v,100,8,0.9377848786981171,0.9363286453499833,0.9349979941878376,0.9514505592762877,0.9477304455454716,0.9363225624258331,0.9385442719555995,0.9371992495824564,0.9416937831628469,0.9416959301531785,0.9417030686794472,0.9391356476014382,0.93623961563453,0.9378757217582393,0.9362438037659534,0.9385444780288835,0.936324175390622,0.9385413204718855,0.9416995756341938,0.9362464351637583,0.9349922240625612,0.9400966654529638,0.9378887091907262,0.941615619687638,0.9372011796630085,0.9362413322675522,0.9439416231150604,0.9378002171385913,0.937286215447335,0.9372842401198263,0.271356,0.269044,0.25924,0.39499,0.450026,0.271949,0.266142,0.264971,0.255953,0.256599,0.261499,0.257668,0.270062,0.263953,0.25262,0.261488,0.248616,0.256774,0.256824,0.269143,0.257439,0.259122,0.269167,0.253279,0.266567,0.267365,0.256294,0.277264,0.26082,0.275174
T100k.D2k.L50.P10.O30.C6.data,w2v,100,8,0.9425145277244596,0.9311887868189658,0.9434380473857393,0.9424070469295036,0.9353122106235621,0.9312718819042317,0.9392652703728761,0.9455751475444826,0.9392590232303893,0.9311982057898424,0.9402546684205527,0.9321732191414239,0.9401499841479278,0.9311770977124203,0.9321729557388851,0.9321735683520223,0.943443706674434,0.9321743820393321,0.935404809303022,0.932173625831065,0.9425165886142343,0.9321734479310119,0.9392342992383592,0.9353042892879563,0.9321731609641254,0.9425145038051567,0.9424097264950921,0.9354075258628851,0.9311965335109009,0.9354074825168396,0.230706,0.234175,0.237553,0.236117,0.234901,0.257,0.233932,0.273774,0.228657,0.237357,0.239653,0.235172,0.251535,0.234283,0.242813,0.236035,0.239225,0.238372,0.235968,0.243656,0.230253,0.222614,0.234148,0.242861,0.238258,0.230633,0.241528,0.226368,0.236304,0.237502
T100k.D2k.L50.P20.O0.C6.data,w2v,100,8,0.9253749992887312,0.9377023106257022,0.9459135650001128,0.9384580362228185,0.9340346961238277,0.9383829307656294,0.9340415027634871,0.9326801636766899,0.9340403184537533,0.9333966637580899,0.9420380662219201,0.9377527526088889,0.9420486865452713,0.9253743597391814,0.9377071186785291,0.9340342459575983,0.9377096957368901,0.9290559899329313,0.9420373153226486,0.9420559274261665,0.9326792619188043,0.932728912431701,0.9440851093920358,0.9377046716108153,0.9340436099407299,0.9377585470935199,0.9420403163420653,0.9370306764084537,0.9384660015945485,0.9326768873510312,0.250799,0.298548,0.248764,0.256824,0.271448,0.258506,0.2442,0.274126,0.249918,0.266457,0.257452,0.319492,0.259475,0.244728,0.269945,0.266897,0.305711,0.244958,0.237474,0.246658,0.295579,0.285743,0.248395,0.289674,0.233965,0.300194,0.255819,0.233706,0.249569,0.399717
T100k.D2k.L50.P20.O10.C6.data,w2v,100,8,0.9336067012839817,0.9259696047828097,0.938778693010848,0.9462510103316719,0.9336090910574077,0.9259692198103362,0.938803368647673,0.9478715279041455,0.9259599507445615,0.9259681002854103,0.9399993728252636,0.9373018307668507,0.9450880034838701,0.9259639915538554,0.9399878994957249,0.940394688263829,0.9259657234459675,0.937204567638594,0.9399899275443722,0.933612512130405,0.933228319510319,0.9336196615034119,0.9462418948096614,0.9332276381002775,0.9387933491616629,0.9259704831582621,0.9305700544414088,0.9259665880694788,0.9399938515541139,0.9336094207153447,0.323825,0.264099,0.273455,0.254922,0.289655,0.256745,0.248791,0.276605,0.25923,0.25157,0.251652,0.253497,0.297246,0.242395,0.256089,0.248609,0.253328,0.267241,0.258996,0.262595,0.270463,0.251852,0.26076,0.260155,0.249427,0.250257,0.252694,0.25328,0.249496,0.286277
