dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,RT_01,RT_02,RT_03,RT_04,RT_05
T100k.D2k.L50.P0.O0.C6.data,tk,0,16,0.8307847465956408,0.7964737007598193,0.815576065133973,0.8156748030643463,0.8113367486996668,222.517508,101.837276,223.783543,224.688275,241.820106
T100k.D2k.L50.P0.O10.C6.data,tk,0,16,0.8082350223302065,0.8007639323718027,0.7906370524452297,0.7952280981987223,0.801550630763232,146.399133,287.31819,122.915059,164.06019,145.36599
T100k.D2k.L50.P0.O20.C6.data,tk,0,16,0.7862831999335149,0.8112158515048743,0.8253084765664402,0.8014355070650241,0.7995440525098475,151.89741,157.959497,177.678982,176.607128,111.28283
T100k.D2k.L50.P0.O30.C6.data,tk,0,16,0.8317922600612454,0.8068556630283658,0.809233990589787,0.8212675452975936,0.8196767056250035,50.981905,50.878433,34.277929,133.392333,51.30298
T100k.D2k.L50.P10.O0.C6.data,tk,0,16,0.7975878788885646,0.7896034512798409,0.815589754301637,0.8264029813989185,0.7915935507677633,700.312117,352.600673,328.921685,257.633811,353.206783
T100k.D2k.L50.P10.O10.C6.data,tk,0,16,0.8101084178447413,0.7892793987831367,0.8285270160063022,0.8151600662267572,0.8292246104620525,288.133396,184.510511,125.713348,187.909505,331.797594
T100k.D2k.L50.P10.O20.C6.data,tk,0,16,0.8459511553434528,0.7979651590135254,0.8159293338255713,0.8020379099785101,0.8099562932442377,187.704456,117.176216,210.690849,166.313181,117.277554
T100k.D2k.L50.P10.O30.C6.data,tk,0,16,0.8289116295182241,0.8190759701237617,0.8250511707608722,0.7916870763291096,0.8202251025369158,94.746426,38.514027,207.199733,56.828549,37.955801
T100k.D2k.L50.P20.O0.C6.data,tk,0,16,0.8054015684478555,0.8138187205834505,0.7850399887441584,0.8189436807899515,0.8053223563303591,189.37387,253.855856,252.885154,638.40888,188.290869
T100k.D2k.L50.P20.O10.C6.data,tk,0,16,0.7953994943380818,0.8223646394300093,0.8043777381656525,0.8083537071399073,0.8193689457730025,304.128606,225.854009,345.134943,123.16755,143.875663
T100k.D2k.L50.P20.O20.C6.data,tk,0,16,0.8073876352606103,0.8266375257068166,0.7826888034293062,0.8071317995961493,0.7954609588093169,157.462247,240.02855,116.580631,156.36907,116.671553
T100k.D2k.L50.P20.O30.C6.data,tk,0,16,0.823381730379469,0.8087927873887498,0.8115190682733661,0.7956107420061899,0.8087318920372232,79.411143,196.033938,79.414416,59.010107,80.533828
T100k.D2k.L50.P30.O0.C6.data,tk,0,16,0.7953908874964426,0.8223241776567108,0.8185911606583983,0.8047451781831534,0.8215787690991596,283.144293,413.612775,357.010523,700.387696,332.934046
T100k.D2k.L50.P30.O10.C6.data,tk,0,16,0.8118830401184716,0.6143486974077124,0.8123778802138467,0.8059580700248049,0.8070913032232749,229.176257,221.021148,269.867914,186.212294,360.22006
T100k.D2k.L50.P30.O20.C6.data,tk,0,16,0.8322359865905322,0.7925467562240841,0.8164044928369902,0.7911917468436978,0.7973954726162491,102.818062,80.70851,81.194078,60.677803,82.50644
T100k.D2k.L50.P30.O30.C6.data,tk,0,16,0.8159213762372229,0.7854983122065272,0.6482023401249773,0.8121440130205181,0.8345188376355537,201.442184,302.327914,287.235882,136.667999,135.994104
T100k.D2k.L50.P40.O0.C6.data,tk,0,16,0.8235067390083156,0.8229706637736901,0.7978378028980091,0.801947708114648,0.8027072820499699,275.727705,264.497971,321.297317,243.263183,337.820476
T100k.D2k.L50.P40.O10.C6.data,tk,0,16,0.8198908418831206,0.8109838907830044,0.7962151209313543,0.8011560779858492,0.7891100331183553,266.702116,410.396208,367.506897,424.634461,396.673632
T100k.D2k.L50.P40.O20.C6.data,tk,0,16,0.8018091752678618,0.8104030300377437,0.8237003995858826,0.8136256073321804,0.8148084035489841,457.426443,83.745002,167.645018,83.52635,169.388287
T100k.D2k.L50.P40.O30.C6.data,tk,0,16,0.7900801494712769,0.8150054111578562,0.8138663954875867,0.8410668485098401,0.8109070380792789,133.853936,114.556663,67.178963,89.512331,156.943669
T100k.D2k.L50.P50.O0.C6.data,tk,0,16,0.806241819699823,0.8191028133029787,0.8077794174037601,0.7916097806818791,0.8132786706144771,297.064564,273.822413,220.585288,202.112274,230.358396
T100k.D2k.L50.P50.O10.C6.data,tk,0,16,0.8061839892318997,0.8102413335378835,0.7849002428453795,0.809659778315172,0.7861193808623301,109.641162,107.429604,307.82173,160.368526,160.519049
T100k.D2k.L50.P50.O20.C6.data,tk,0,16,0.7918649653564566,0.8007600914597285,0.8015713200718018,0.8032101035646633,0.8216090279649603,200.197359,217.146041,251.471513,235.025172,254.278541
T100k.D2k.L50.P50.O30.C6.data,tk,0,16,0.7964322912463011,0.7967789536856597,0.8191998757967528,0.7871140559108968,0.8047979932478252,174.606481,108.185755,108.951876,259.485423,304.805014
