dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30,K_01,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30
T100k.D2k.L50.P0.O0.C6.data,TX,0,0,1.0,0.9998228129526594,1.0,0.9999393808681386,1.0,1.0,1.0,1.0,1.0,0.999938375574221,0.9999383928745171,1.0,1.0,0.9999384794784284,0.9999384795014724,1.0,0.9999384967787245,0.9999383755911753,1.0,1.0,0.9998774884736682,0.9644406343939057,0.9999383168155718,0.9999383928903226,0.9999387471722345,0.9998759075232693,0.9998766044865919,0.999938316781378,0.9999384794784283,0.9998762790813424,1.894801,1.93329,1.969461,1.899783,2.007011,1.949986,1.809808,1.944818,1.817866,1.821009,1.902061,1.88579,1.83368,1.720931,1.873928,1.827154,1.791076,1.940183,1.839329,1.906764,1.835518,2.042818,2.022936,1.820025,1.86019,1.812999,1.873944,1.791658,1.91171,1.879222,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O10.C6.data,TX,0,0,0.9999415526577204,0.9998291018402335,0.9997156757852502,0.9998903342353109,1.0,0.9998284700604627,0.9998288512418034,0.9998880565390595,0.9998829281119568,0.9999402367218202,0.9999402367316146,0.9997810222940267,0.9998807891344853,0.9999402367316146,0.9999402367316147,0.9998886882209409,0.999727957521304,0.999881170335561,0.999890688450876,0.9998806503984352,0.9997259442317284,0.9998307385187356,0.9999404138558726,0.9998834864151543,0.999881170335561,0.9998288512418037,0.9999402367218201,0.9998228395059621,0.9999405525424406,0.9998333746989119,1.813692,1.874105,1.744553,1.961073,1.814731,1.8585,1.902307,1.839346,1.930688,1.965058,1.731124,1.913994,1.760641,1.819634,1.849556,1.835443,1.849545,1.715159,1.891833,1.870658,1.838011,1.826102,2.048306,1.716535,1.888829,1.785124,1.85796,1.881005,1.851574,1.763861,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O20.C6.data,TX,0,0,0.999945738747578,0.9998532642258181,0.9998899023706569,0.9997875879942923,0.9999444653906491,0.9999442406234879,1.0,0.9998898495652345,0.9999442406234879,0.9998957741025025,0.9998363038198901,0.9998955148532574,0.9999443702305004,0.9999456091261345,0.9999443702305004,0.9998955148532576,0.9999455140334732,1.0,1.0,0.9632707430833983,0.9998955148532578,0.9998965145048809,0.9999442406234879,0.999944903646247,0.9998957741025025,0.9999449036462468,1.0,1.0,1.0,0.9998900319766776,1.892706,1.834993,1.788573,1.900296,2.00077,1.942674,1.873424,1.887775,1.811585,1.865474,1.928344,1.852017,1.895087,1.767885,1.788476,1.80589,1.860302,1.812312,1.844314,1.976645,1.954446,1.910843,1.874965,1.79118,1.878501,1.765939,1.795654,1.965706,1.759313,1.888539,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6
T100k.D2k.L50.P0.O30.C6.data,TX,0,0,1.0,0.9999387815374862,0.999940680031348,0.999939473258272,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.999889372133732,1.0,0.999939384954952,1.0,0.9999391851778832,0.9999394732582721,1.0,0.9999392749494744,0.9999999999999999,0.9999387815006234,0.9999392749494744,0.9999392749494744,0.9999386714951458,0.9999386714951458,0.9999387815006234,0.9999391851778832,0.9999386714951457,0.9998799749068558,0.9998774528097367,0.9999391851704842,1.0,1.49375,1.458577,1.460864,1.449846,1.526393,1.558605,1.609843,1.55262,1.482714,1.530417,1.513378,1.540946,1.511601,1.506361,1.576201,1.581803,1.461746,1.431156,1.458093,1.483197,1.454726,1.448354,1.485003,1.523251,1.506021,1.444152,1.573826,1.485012,1.553261,1.523231,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
T100k.D2k.L50.P10.O0.C6.data,TX,0,0,0.9995531189238441,0.9995538295706784,0.9655026807484411,0.9997242866998152,0.999653432706879,0.9997211406763021,0.9997278226927617,0.9815846942691236,0.9312323076718173,0.9997181362353671,0.999718136260098,0.9751190102873161,0.9997694014412907,0.9995476775239402,0.9504073478015911,0.999829327757156,0.9996134724601767,0.9996656262029862,0.9401046097792531,0.9704058628470494,0.9998273759213321,0.9998263989924447,0.9994581732044693,0.9652369571434463,0.9997731197890327,0.9700062548130362,0.9996592638921082,0.9210644089616153,0.9997759320435893,0.9995506539687139,2.93016,2.618621,2.983888,2.510363,3.031045,2.702114,2.542431,2.628035,2.670067,2.807187,2.547942,2.60569,2.657704,2.737127,2.748605,2.624824,2.765012,3.019413,2.976915,2.617843,3.106705,2.651672,2.617476,2.807331,2.907337,2.532947,3.054091,2.989776,2.833235,2.382206,6,6,7,6,6,6,6,7,9,6,6,8,6,6,8,6,6,6,9,8,6,6,6,9,6,7,6,10,6,6
T100k.D2k.L50.P10.O10.C6.data,TX,0,0,0.9998795656698878,0.9580607226149083,0.9999393989135011,0.9999397509786793,0.9997589792201934,1.0,0.9998183038721621,0.9604556583710919,0.9998790248047837,0.9391138148769388,0.99988875317922,0.9998786090264516,0.9999401667169049,0.9999401667169049,0.9468951052170991,1.0,0.9999390919815697,0.9999401715101509,0.9353937314581041,0.9999390919815696,1.0,0.9348764939128591,0.9999392787170138,0.9443431643191138,0.9999999999999999,0.9732472809978181,0.9996981092804599,0.999939278717014,0.944086397378114,0.9731236618967982,2.789479,2.807405,2.348141,2.727997,2.510729,2.31421,2.587565,2.740467,2.334326,2.645226,2.499442,2.181401,2.559632,2.442512,2.483849,2.33565,2.33369,2.36866,2.736289,2.620622,2.26402,2.88999,2.372394,2.973157,2.55168,2.446073,2.292182,2.442261,2.729418,2.549026,6,8,6,6,6,6,6,7,6,9,6,6,6,6,8,6,6,6,10,6,6,10,6,9,6,7,6,6,9,7
T100k.D2k.L50.P10.O20.C6.data,TX,0,0,0.9397383421389963,0.9998962927517727,0.9999442697168023,0.9999440748263735,0.9999440748263735,0.9999439358316081,0.9599333154809531,0.9998888874970179,0.9998879961290796,0.9998320323337853,0.9998336732452284,0.9998885873838492,0.9998887192445527,0.9999440149593295,0.9997836859943596,0.9167370090700296,0.9998326025894171,1.0,0.9998317632452349,0.9747472751815591,0.9304189716084559,1.0,0.9998881193855381,0.9534778504183296,0.9679201889839604,1.0,0.9998878645922455,1.0,0.9998334307457744,0.9738225884372015,2.890128,2.452714,2.6405,2.523599,2.61504,2.700575,2.832234,2.683413,2.597173,2.820044,2.424541,2.753407,2.530142,2.856433,2.84162,3.212873,2.668776,2.628459,2.839867,3.219386,3.163141,2.585745,2.340572,2.971734,3.072319,2.34553,2.45878,2.869872,2.482455,2.599919,9,6,6,6,6,6,8,6,6,6,6,6,6,6,6,10,6,6,6,7,10,6,6,8,7,6,6,6,6,7
T100k.D2k.L50.P10.O30.C6.data,TX,0,0,0.9999366980879553,0.9338913844338061,0.942348382811248,0.9501156476153022,0.8893674251078525,0.9999361490842209,0.9463125615973588,0.9643880142079948,0.9487247667444814,0.9699244673592686,0.9607706680834375,0.9465484302890279,0.9999361490842211,0.956171493447589,0.9191855486726087,0.9732221033639399,0.9999358399062532,0.9999358399062533,0.999936149084221,0.9999358399062532,0.9230146826432758,0.999936990895467,0.9362317388294765,0.9998726332044269,0.9998085586023532,0.9999358398993355,0.9998716609303234,0.8826186767370303,0.9999366980879555,0.9559305958868552,2.580793,2.870499,2.55716,2.661779,3.060353,2.390734,2.955464,2.667936,2.859346,2.511213,2.400588,2.483961,2.488988,3.028225,2.836029,2.183027,2.267675,2.347153,2.307628,2.294388,2.85634,2.255089,2.606425,2.477229,2.401607,2.321194,2.395804,3.264191,2.460311,2.404972,6,10,9,10,12,6,10,7,10,7,9,9,6,9,12,7,6,6,6,6,10,6,9,6,6,6,6,13,6,9
T100k.D2k.L50.P20.O0.C6.data,TX,0,0,0.999528319963721,0.9995375759980346,0.9994697579312389,0.9993537584512039,0.9996348682130027,0.9729178318016044,0.999107557029558,0.9992952037311482,0.9995734629504311,0.9518142324780706,0.9693842754933303,0.9995274024774387,0.9995750001388887,0.9995335191454133,0.9791727804483001,0.9994328382647683,0.9239133239740267,0.9995373967701625,0.9115792233752029,0.9994079983490035,0.9645070717600757,0.999412576480517,0.9993457984342097,0.9465806695163977,0.9995204898816966,0.9464066909794477,0.9995953991823621,0.9400703752802569,0.9802924669515577,0.9454302770525153,2.497339,2.642435,2.346178,2.476752,2.690271,2.729643,3.150623,2.574721,3.101801,3.240815,2.942729,2.845724,2.515622,2.697245,2.551088,2.845743,3.16205,2.679471,3.94838,2.55897,2.781509,2.622652,2.977625,3.002618,2.762786,3.245328,2.635332,3.662903,3.529743,3.075711,6,6,6,6,6,7,6,6,6,8,7,6,6,6,7,6,10,6,10,6,7,6,6,8,6,9,6,10,7,9
T100k.D2k.L50.P20.O10.C6.data,TX,0,0,0.9994099985400562,0.9995295677345295,0.9992603860692263,0.999361566728048,0.9998186968851236,0.9585342750687101,0.9995852702666488,0.9664237466580268,0.9683275352309637,0.9992902134034695,0.9407076636740592,0.9517984938670164,0.9995216275351974,0.9477281630879152,0.9619388515350842,0.9993593030675112,0.9495403953000111,0.9996353553014642,0.9692777959296165,0.9993168070572702,0.9436903182990493,0.9995230996737198,0.9467935844785288,0.999466331621418,0.9731558529963027,0.9995826810509008,0.9453069935671616,0.9994091921812337,0.9996964900661656,0.9994709355184417,3.351097,2.569767,2.639365,2.91164,2.621587,3.29244,2.58804,3.294083,2.694892,3.083599,3.058844,2.878811,2.350799,3.188402,2.729149,2.635394,3.007544,2.648057,2.620836,2.992503,3.032217,3.062855,2.837983,2.773034,3.017347,2.372373,3.488482,2.56652,2.648072,2.604883,6,6,6,6,6,7,6,7,7,6,9,9,6,9,8,6,9,6,7,6,8,6,9,6,7,6,9,6,6,6
