clusters;NCM - part 4;NAM - part 4;IM - part 4;;;adult;chessBig;connect;pendigits;letrecog
ourApproach;;;;;NCM - p4;0.242;0.653;0.171;0.418;0.429
adult;;;;;NAM - p4;0.416;0.709;0.231;0.476;0.619
4;0.241553503;0.4161003;0.241553503;;IM - p4;0.242;0.653;0.174;0.418;0.429
8;0.252047018;0.491229444;0.255248905;;NCM - tk 4;0.247;0.674;0.179;0.419;0.436
16;0.258582537;0.548664313;0.259343782;;NAM - tk 4;0.358;0.632;0.148;0.461;0.573
chessBig;;;;;IM - tk 4;0.247;0.625;0.148;0.420;0.436
4;0.65291383;0.709386303;0.652886939;;NCM - tx;0.688;0.878;0.187;0.671;0.758
8;0.649869615;0.799336254;0.66157023;;NAM - tx;0.790;0.870;0.143;0.761;0.881
16;0.664095914;0.828147384;0.673183263;;IM - tx;0.680;0.856;0.143;0.670;0.756
connect;;;;;NCM - p 8;0.252;0.650;0.186;0.427;0.447
4;0.170655408;0.230966863;0.174490619;;NAM - p 8;0.491;0.799;0.354;0.528;0.703
8;0.185865063;0.353610382;0.185859414;;IM - p 8;0.255;0.662;0.186;0.427;0.447
16;0.208018182;0.426592137;0.207659253;;NCM - tk 8;0.253;0.694;0.211;0.451;0.461
pendigits;;;;;NAM - tk 8;0.471;0.698;0.168;0.497;0.656
4;0.417785804;0.476059309;0.417799408;;IM - tk 8;0.254;0.679;0.166;0.435;0.463
8;0.426980309;0.528166776;0.426928365;;NCM - p 16;0.259;0.664;0.208;0.466;0.466
16;0.465913997;0.575777228;0.463263506;;NAM - p 16;0.549;0.828;0.427;0.576;0.751
letrecog;;;;;IM - p 16;0.259;0.673;0.208;0.463;0.466
4;0.429057852;0.618503601;0.429072723;;NCM - tk 16;0.257;0.695;0.236;0.477;0.483
8;0.447067811;0.703237703;0.44703147;;NAM - tk 16;0.504;0.740;0.199;0.556;0.723
16;0.466096424;0.75104995;0.466104452;;IM - tk 16;0.257;0.700;0.195;0.482;0.483
tkmeans;;;;;;;;;;
adult;;;;;;;;;;
;0.247344999;0.357759291;0.247354455;;;;;;;
8;0.253055069;0.471332053;0.254151595;;;;;;;
16;0.256876918;0.5039809;0.256702619;;;;;;;
chessBig;;;;;;;;;;
4;0.674058125;0.631788983;0.624507194;;;;;;;
8;0.694289397;0.698126774;0.678936596;;;;;;;
16;0.694915084;0.739559469;0.69950875;;;;;;;
connect;;;;;;;;;;
4;0.179199991;0.14789314;0.14789314;;;;;;;
8;0.210606214;0.167710515;0.166236241;;;adult;chessBig;connect;pendigits;letrecog
16;0.235726359;0.199241515;0.194883726;;NCM - p4;0.242;0.653;0.171;0.418;0.429
pendigits;;;;;NAM - p4;0.416;0.709;0.231;0.476;0.619
4;0.418665151;0.461165487;0.419793449;;IM - p4;0.242;0.653;0.174;0.418;0.429
8;0.450702818;0.496626323;0.435239718;;NCM - p 8;0.252;0.650;0.186;0.427;0.447
16;0.477213013;0.556167132;0.481871412;;NAM - p 8;0.491;0.799;0.354;0.528;0.703
letrecog;;;;;IM - p 8;0.255;0.662;0.186;0.427;0.447
4;0.436025974;0.572780369;0.436023805;;NCM - p 16;0.259;0.664;0.208;0.466;0.466
8;0.461037695;0.656077542;0.46280747;;NAM - p 16;0.549;0.828;0.427;0.576;0.751
16;0.482885619;0.722781956;0.482786989;;IM - p 16;0.259;0.673;0.208;0.463;0.466
txmeans;;;;;;;;;;
adult;;;;;;;;;;
15;0.688476393;0.790142586;0.679955367;;;;;;;
chessBig;;;;;;;;;;
19.8;0.877859917;0.870169033;0.855724146;;;;;;;
connect;;;;;;;;;;
4.4;0.186982939;0.142601661;0.142601661;;;;;;;
pendigits;;;;;;;;;;
14.2;0.671371117;0.760642876;0.670099443;;;;;;;
letrecog;;;;;;;;;;
60.2;0.757930975;0.881432048;0.755510199;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
