adult.dat;;;;;;;;
clusters;naiveCodes;naiveRatio;naivePlusCodes;naivePlusRatio;informedCodes;informedRatio;informedAccepted;informedRejected
4;1336;0.240779077;592;0.321600687;1336;0.240779077;3;0
4;1311;0.24069379;588;0.335001396;1311;0.24069379;3;0
4;1442;0.252747928;433;0.405185527;1442;0.252746669;3;0
4;1431;0.259074136;561;0.323545518;1431;0.259074136;3;0
4;1513;0.243430064;454;0.403463329;1513;0.243478601;3;0
8;1638;0.247980357;520;0.496523294;1518;0.253970162;6;1
8;1610;0.251356025;350;0.512028853;1609;0.251364449;7;0
8;1648;0.252566911;263;0.412574765;1648;0.252566911;7;0
8;1679;0.259715255;441;0.491308066;1679;0.259715255;7;0
8;1556;0.253656797;399;0.444225285;1474;0.253141199;6;1
16;1759;0.256713625;321;0.477338322;1695;0.255836877;14;1
16;1777;0.25639349;224;0.441712615;1777;0.256394953;15;0
16;1824;0.260120785;248;0.54277321;1824;0.260120785;15;0
16;1723;0.254262091;166;0.547124887;1723;0.254263429;15;0
16;1741;0.2568946;234;0.510955469;1741;0.256897049;15;0
4;1406.6;0.247344999;525.6;0.357759291;1406.6;0.247354455;3;0
8;1626.2;0.253055069;394.6;0.471332053;1585.6;0.254151595;6.6;0.4
16;1764.8;0.256876918;238.6;0.5039809;1752;0.256702619;14.8;0.2
chessBig.dat;;;;;;;;
clusters;naiveCodes;naiveRatio;naivePlusCodes;naivePlusRatio;informedCodes;informedRatio;informedAccepted;informedRejected
4;1378;0.669677538;515;0.607509894;638;0.591467314;1;2
4;1794;0.673769652;413;0.658053141;413;0.658053141;0;3
4;1785;0.701588835;509;0.611491397;509;0.611491397;0;3
4;1368;0.661479017;390;0.65080366;723;0.637451305;1;2
4;1707;0.663775581;377;0.631086821;888;0.624072811;1;2
8;1812;0.691374562;306;0.721989606;550;0.691719492;1;6
8;2018;0.687072723;362;0.677611704;834;0.670645606;2;5
8;2028;0.687785552;388;0.662670944;788;0.660406556;1;6
8;1780;0.703224114;419;0.737597595;1040;0.682620697;3;4
8;1971;0.701990033;435;0.690764024;859;0.689290631;1;6
16;1880;0.683833303;325;0.706387715;577;0.677361262;3;12
16;2118;0.691050172;371;0.711668873;507;0.684707411;1;14
16;2155;0.705045907;316;0.808965056;2054;0.706551769;14;1
